product_id,product_name,product_category,weight_kg,fragility_level,moisture_sensitivity,temperature_sensitivity,food_grade_required,shelf_life_days,shape_type,value_category,fragility_score,risk_score,weight_log,shelf_life_months
P001,Organic Tomato Sauce – Variant 1,Food,1.45,High,High,Low,No,1852,Pouch,High,,,0.8960880245566356,61.733333333333334
P002,Basmati Rice Pack – Variant 1,Medical Supplies,3.09,High,High,Medium,No,1281,Cylindrical,High,,,1.4085449700547104,42.7
P003,Frozen Chicken Nuggets – Variant 1,Medical Supplies,1.54,High,High,Low,Yes,256,Cylindrical,Medium,,,0.9321640810304452,8.533333333333333
P004,Almond Milk Carton – Variant 1,FMCG,3.75,Low,High,High,Yes,68,Foldable,Low,,,1.55814461804655,2.2666666666666666
P005,Whole Wheat Bread – Variant 1,Pharmaceuticals,4.05,High,Medium,Low,No,1877,Cylindrical,High,,,1.6193882432872684,62.56666666666667
P006,Olive Oil Bottle – Variant 1,Stationery,1.47,High,High,High,Yes,155,Cylindrical,High,,,0.9042181506398859,5.166666666666667
P007,Chocolate Biscuit Pack – Variant 1,Medical Supplies,1.12,High,High,Low,No,152,Cylindrical,Low,,,0.7514160886839212,5.066666666666666
P008,Instant Noodles Cup – Variant 1,Home Goods,2.76,Medium,Low,Medium,No,1537,Round,Low,,,1.324418957401803,51.233333333333334
P009,Breakfast Cereal Box – Variant 1,Medical Supplies,2.02,Low,Medium,Low,Yes,1375,Rectangular,Low,,,1.1052568313867783,45.833333333333336
P010,Honey Bottle – Variant 1,Cosmetics,3.78,High,Medium,High,Yes,1754,Rectangular,High,,,1.5644405465033644,58.46666666666667
P011,Canned Tuna – Variant 1,Apparel,1.36,High,High,Medium,No,845,Cylindrical,Low,,,0.8586616190375187,28.166666666666668
P012,Peanut Butter Jar – Variant 1,Apparel,0.35,Medium,Low,High,Yes,1540,Round,High,,,0.3001045924503381,51.333333333333336
P013,Yogurt Tub – Variant 1,Cosmetics,4.78,High,Medium,Medium,No,1153,Foldable,Low,,,1.7544036826842861,38.43333333333333
P014,Cheddar Cheese Block – Variant 1,Cosmetics,1.98,Medium,High,Low,No,1682,Round,High,,,1.091923300517313,56.06666666666667
P015,Butter Pack – Variant 1,Home Goods,1.27,High,High,Low,Yes,1698,Rectangular,High,,,0.8197798314933114,56.6
P016,Green Tea Sachets – Variant 1,Apparel,2.33,Medium,High,Medium,No,1668,Rectangular,Medium,,,1.2029723039923526,55.6
P017,Ground Coffee Pouch – Variant 1,FMCG,3.6,High,High,Low,Yes,369,Round,Medium,,,1.5260563034950492,12.3
P018,Sugar Paper Bag – Variant 1,Pharmaceuticals,2.54,Medium,High,Medium,No,290,Foldable,High,,,1.264126727145683,9.666666666666666
P019,Salt Shaker – Variant 1,Electronics,2.65,High,High,Low,No,10,Rectangular,High,,,1.2947271675944,0.3333333333333333
P020,Spice Masala Box – Variant 1,Food,1.02,High,High,Medium,Yes,1142,Rectangular,High,,,0.7030975114131134,38.06666666666667
P021,Pain Relief Tablets – Variant 1,Glassware,3.98,Low,High,Medium,No,1852,Rectangular,Medium,,,1.6054298910365616,61.733333333333334
P022,Vitamin Capsules – Variant 1,FMCG,2.19,Medium,Low,High,Yes,320,Round,Low,,,1.1600209167967532,10.666666666666666
P023,Cough Syrup Bottle – Variant 1,Apparel,3.55,Low,High,High,Yes,859,Flat,Medium,,,1.5151272329628591,28.633333333333333
P024,Antibiotic Strip – Variant 1,Cosmetics,4.57,Low,High,High,Yes,1715,Flat,Medium,,,1.7173950539391927,57.166666666666664
