material_id,eco_alternative,category,weight_capacity_upto
MAT014,Palm Leaf Packaging,Meals,2
MAT014,Palm Leaf Packaging,Lunch Boxes,2
MAT015,Seaweed Packaging,Ready-to-Eat,1
MAT015,Seaweed Packaging,Instant Foods,1
MAT022,Wheat Straw Packaging,Snacks,1
MAT022,Wheat Straw Packaging,Dry Foods,1
MAT032,Cellulose Fiber Mold,Bakery Items,2
MAT032,Cellulose Fiber Mold,Cakes,2
MAT009,Cornstarch Packaging,Takeaway Meals,2
MAT009,Cornstarch Packaging,Restaurant Orders,2
MAT027,Bagasse Foam,Fast Food,2
MAT027,Bagasse Foam,Combo Meals,2
MAT020,Coconut Husk,Organic Meals,3
MAT020,Coconut Husk,Traditional Food,3
MAT024,Rice Husk Packaging,Street Food,2
MAT024,Rice Husk Packaging,Local Snacks,2
MAT010,Sugarcane Bagasse,Meal Trays,3
MAT010,Sugarcane Bagasse,Food Combos,3
MAT034,Starch-Based Film,Liquid Foods,1
MAT034,Starch-Based Film,Sauce Packs,1
