Material Name ,ProductCategory,Strength_Value,WtCapacity,Unit Cost($),Bio Score,CO2Emission,Recycle %,FragileLevel,Ship-Type
metal,electronics,77.0,8.0,,0.87,12.35,38.7,3,Air
,cosmetics,35.0,20.0,0.64,0.46,5.85,35.0,3,Ground
,pharmaceuticals,85.0,12.0,0.22,0.02,15.27,99.8,2,Ground
metal,food,,,0.33,0.23,14.19,48.2,3,Air
glass,,58.0,,0.78,0.48,9.81,80.5,3,
jute,home,47.0,23.0,0.79,0.42,21.65,,3,Air
jute,food,31.0,19.0,0.46,0.86,16.67,92.6,2,Ground
metal,cosmetics,37.0,20.0,0.75,0.54,18.17,8.5,2,Ground
plastic,cosmetics,83.0,19.0,0.47,0.69,4.19,27.1,,Air
glass,food,67.0,6.0,0.3,0.47,22.14,,1,Air
metal,electronics,77.0,15.0,0.29,0.44,4.59,56.3,2,
glass,food,56.0,5.0,,0.45,5.96,56.0,,Ground
glass,home,,19.0,0.22,0.41,3.64,16.6,2,Air
jute,electronics,41.0,23.0,0.51,0.54,11.29,28.1,1,Air
bamboo,cosmetics,,8.0,0.49,0.25,22.25,52.1,2,
glass,food,90.0,15.0,0.62,0.89,6.68,27.7,3,Air
bagasse,pharmaceuticals,60.0,9.0,0.45,0.33,,21.0,,Ground
jute,pharmaceuticals,90.0,7.0,0.29,0.15,21.23,8.8,,Air
plastic,home,96.0,17.0,,0.1,15.64,15.6,3,Ground
bamboo,pharmaceuticals,64.0,14.0,0.53,0.01,18.91,76.9,2,Air
bagasse,food,44.0,15.0,0.6,0.42,5.74,71.9,1,Ground
bagasse,food,45.0,22.0,0.5,0.19,18.05,4.6,1,Ground
plastic,pharmaceuticals,42.0,6.0,0.62,0.02,6.08,20.3,,Ground
bamboo,food,64.0,11.0,0.2,0.52,24.69,56.0,1,Air
jute,home,88.0,13.0,0.72,0.68,14.22,32.3,3,Ground
paper,electronics,50.0,14.0,0.51,0.09,17.54,82.3,3,Air
bamboo,home,83.0,22.0,0.19,0.46,3.4,78.5,2,Air
plastic,home,59.0,11.0,0.42,0.74,6.64,89.2,,Ground
bagasse,food,77.0,11.0,0.69,0.99,3.92,56.3,,Ground
jute,electronics,64.0,7.0,0.73,0.67,10.06,35.2,3,Air
bamboo,food,67.0,16.0,0.29,0.24,7.46,,2,
paper,cosmetics,60.0,,0.6,0.72,18.46,,1,
paper,food,53.0,,,0.6,3.16,1.0,2,Ground
,food,78.0,5.0,0.12,0.21,18.93,1.7,1,Ground
glass,food,61.0,9.0,0.49,0.85,1.62,40.8,2,
metal,electronics,84.0,20.0,0.59,0.43,5.45,22.8,,Ground
plastic,food,87.0,19.0,0.66,0.96,19.9,15.7,2,Ground
bamboo,electronics,32.0,6.0,0.34,0.72,18.7,61.5,1,Ground
bamboo,pharmaceuticals,98.0,13.0,0.1,0.64,12.17,99.5,,Air
metal,cosmetics,39.0,11.0,0.44,0.73,1.72,,3,Ground
,electronics,54.0,8.0,0.11,0.48,15.44,,1,Ground
bagasse,pharmaceuticals,97.0,24.0,0.16,0.51,10.46,12.0,,Ground
metal,electronics,90.0,22.0,0.33,0.85,8.25,93.4,,Air
bagasse,electronics,58.0,8.0,0.41,,16.19,29.2,1,Air
glass,cosmetics,,17.0,0.3,0.9,11.2,87.8,3,Air
bamboo,home,72.0,5.0,,0.89,2.76,28.3,2,Air
metal,home,95.0,7.0,0.14,0.98,22.94,80.6,,Ground
bamboo,electronics,,,0.2,0.7,19.57,20.9,1,Air
paper,food,72.0,8.0,,,1.88,29.3,3,Air
glass,pharmaceuticals,,20.0,0.2,0.17,13.36,19.2,3,Ground
jute,,49.0,23.0,0.55,0.71,2.54,26.4,1,Ground
glass,food,77.0,5.0,0.14,0.29,21.01,83.5,1,Air
,electronics,53.0,9.0,0.39,0.28,15.52,63.9,1,Air
jute,electronics,40.0,23.0,,0.24,4.73,40.6,3,
