product_id,product_name,sector,main_packaging_material,strength_score,weight_capacity_score,barrier_score ,biodegradability_score,co2_emission_score,recyclability_percent,cost_score,reuse_potential_score,co2_impact_index,performance_index,material_suitability_score
1,Smartphone box,Electronics,Recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,0.37279999999999996,3.0,1.4367800000000002
2,Laptop shipping pack,Electronics,Heavy corrugated cardboard + paper padding,3,4,3,88,70,73,3,2,0.3752,3.4,1.64252
3,Earbuds/headphones retail box,Electronics,Folding boxboard + paper insert,3,3,3,85,70,75,3,2,0.38000000000000006,3.0,1.4405000000000001
4,Fragile gadget shipper with loose fill,Electronics,Cardboard box + starch‑based packing peanuts,3,3,3,90,78,55,3,2,0.17200000000000001,3.0,1.4072000000000002
5,Snack bar wrapper,Food,Compostable PLA/cellulose multilayer film,3,3,4,80,75,28,4,1,0.16719999999999996,3.0,1.3647200000000004
6,Chips / dry snacks bag,Food,High‑barrier bio‑based or PE film with coating,3,3,5,65,55,20,3,1,0.5479999999999999,3.0,1.3723
7,Ready‑meal tray + lid,Food,Bagasse tray + PLA or cellulose lid film,3,3,4,85,80,45,3,1,0.10800000000000001,3.0,1.3833
8,Beverage can,Food,Aluminium can,5,5,5,0,55,85,3,2,0.704,5.0,2.1553999999999998
9,Sauce or jam jar,Food,Glass jar + metal lid,4,3,5,0,50,82,3,4,0.7968000000000001,3.6,1.5616800000000002
10,Dairy in paper‑based cup,Food,Coated paper cup + bioplastic or PE lining,3,3,4,60,60,40,3,1,0.49600000000000005,3.0,1.3796000000000004
11,Premium chocolate box,Food,Rigid paperboard box + paper tray,3,3,3,85,70,75,4,3,0.38000000000000006,3.0,1.4405000000000001
12,Glass skincare jar,Cosmetics,Glass jar + aluminium / PCR plastic cap,4,3,5,10,52,80,3,4,0.752,3.6,1.5702
13,PCR PET skincare bottle,Cosmetics,PCR PET bottle + plastic pump,4,4,4,0,55,58,2,3,0.6391999999999999,4.0,1.7219200000000001
14,Bamboo‑cased lipstick / compact,Cosmetics,Bamboo outer + plastic/metal insert,4,4,4,70,80,45,4,4,0.10800000000000001,4.0,1.7608
15,Aluminium cosmetic tin,Cosmetics,Aluminium screw‑top tin,5,5,5,0,55,85,3,4,0.704,5.0,2.1553999999999998
16,Refillable foundation bottle,Cosmetics,Reusable glass/aluminium outer + refill cartridge,4,4,5,40,60,60,5,5,0.544,4.0,1.7744000000000002
17,Refillable aluminium body‑wash bottle,Cosmetics,Aluminium bottle + concentrate refills,5,5,5,80,80,85,4,5,0.20400000000000001,5.0,2.2254
18,Blister pack for tablets ,Pharmaceuticals,PCR PET/foil blister + paperboard card,4,3,5,5,50,30,2,1,0.672,3.6,1.5047000000000001
19,Cough syrup bottle ,Pharmaceuticals,Glass or PCR PET bottle + child‑proof cap,4,3,5,2,52,70,3,3,0.728,3.6,1.5458
20,Soda PET bottle ,Beverages,PCR PET bottle + PCR cap,4,4,5,0,55,60,2,4,0.6439999999999999,4.0,1.7244000000000002
21,Premium glass water ,Beverages,Glass bottle + metal cap,4,3,5,0,50,82,3,5,0.7968000000000001,3.6,1.5616800000000002
22,T‑shirt shipping envelope ,Textiles/Apparel,Recycled paper/poly mailer or compostable film,3,3,3,80,65,60,2,2,0.444,3.0,1.4244000000000003
23,Jeans retail box ,Textiles/Apparel,Recycled cardboard box + paper band,3,3,3,85,70,75,3,3,0.38000000000000006,3.0,1.4405000000000001
24,Shampoo refill pouch ,Personal Care/Home,Recycled plastic or compostable pouch,3,3,4,70,65,40,2,4,0.396,3.0,1.3846000000000003
25,Detergent pod tray ,Personal Care/Home,Paperboard tray + bioplastic pods,3,3,4,75,72,65,3,2,0.316,3.0,1.4091000000000002
26,Electric kettle box,Household Appliances,Heavy corrugated box + molded pulp inserts,4,4,3,85,70,75,3,2,0.38000000000000006,4.0,1.8405
27,Microwave oven shipper,Household Appliances,Reinforced corrugated fiberboard + foam corners,5,5,3,65,55,50,3,1,0.62,5.0,2.2095
28,Blender packaging,Household Appliances,Cardboard box + molded paper trays,4,4,3,88,70,73,3,2,0.3752,4.0,1.8425200000000002
29,Refrigerator outer box,Household Appliances,Heavy-duty corrugated cardboard + paper edge protectors,5,5,3,80,72,70,4,2,0.32799999999999996,5.0,2.2228
30,Vacuum cleaner pack,Household Appliances,Corrugated board + paper pulp inserts,4,4,3,85,70,75,3,2,0.38000000000000006,4.0,1.8405
