"product_name","sector","main_packaging_material","material_name","material_suitability_score"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Recycled Cardboard / Paperboard","20.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Molded Pulp (Recycled Paper Fiber)","19.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Kraft Paper Wraps, Paper Padding","20.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Starch-Based Foams/Peanuts","15.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Mycelium-Based Molded Packaging","13.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Bagasse, Wheat-Straw, Other Agri Fibers","17.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pla Bioplastic (Films, Rigid)","13.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Other Compostable Bioplastics (Pha, Pbs)","14.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Cellulose / Seaweed Bio-Films","13.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pcr Pet (Bottles, Trays)","-3.4"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pcr Hdpe/Ldpe","-3.9"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Glass (Bottles, Jars, Vials)","-0.4"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Aluminium Cans / Tins","-0.5"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Bamboo (Components, Shells)","15.6"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Cork, Wood, Wood-Composites","17.6"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Cotton/Jute Textile Bags","20.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Hemp Fiber Molded Packaging","17.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Sugarcane Bagasse Sheets","17.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Rice Husk Composites","14.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Chitin/Chitosan Films (Mushroom/Shell)","13.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Recycled Steel Tins","-1.0"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pcr Pp (Polypropylene) Trays","-5.0"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Beeswax-Coated Paper","14.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Seaweed-Based Rigid Trays","13.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Newspaper Honeycomb Inserts","19.6"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Algae-Based Plastics","12.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Cellophane Films","16.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Cornstarch-Based Bioplastic Trays","16.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Coconut Coir Padding","16.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Palm Leaf Trays","14.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Banana Fiber Composites","15.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Cassava Starch Foams","14.9"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Beet Pulp Molded Pulp","17.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Carrot Pulp Trays","14.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Tapioca-Based Films","16.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Corn Cob Fillers","16.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Peanut Shell Composites","14.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Sorghum Stalk Padding","15.9"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Flax Fiber Bags","17.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Sisal Fiber Wraps","16.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Abaca (Manila Hemp) Sheets","17.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Kapok Fiber Cushions","13.9"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pineapple Leaf Fibers (Piña)","15.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Coffee Husk Composites","14.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Olive Stone Fillers","16.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Date Palm Composites","17.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Avocado Seed Bioplastics","12.9"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Mushroom Root (Mycelium Variants)","13.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Agar-Agar Films (Seaweed Binder)","13.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Wheat Bran Sheets","18.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Barley Straw Pulp","19.0"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Maize Cob Composites","16.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Potato Starch Foams","15.8"
