material_id,material_name,material_type,flexibility,strength_mpa,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,eco_score,cost_category,strength_index
M001,Corrugated Kraft Board – Grade 1,Glass,Low,21,4,3.2,41,5,17.360000000000003,low,
M002,Recycled Paperboard – Grade 1,Paper,High,15,3,1.46,91,32,37.308,high,
M003,Virgin Paperboard – Grade 1,Metal,High,10,3,3.69,90,21,36.462,medium,
M004,Glass – Soda Lime – Grade 1,Paper,Medium,25,1,7.35,68,18,26.130000000000003,medium,
M005,PET Plastic – Grade 1,Glass,Medium,13,7,5.62,80,12,33.675999999999995,medium,
M006,Recycled PET – Grade 1,Paper,High,21,1,1.42,88,17,35.316,medium,
M007,HDPE Plastic – Grade 1,Bioplastic,Medium,10,2,4.0,94,21,37.6,medium,
M008,LDPE Plastic – Grade 1,Glass,Low,27,3,6.06,68,8,27.188000000000002,low,
M009,PP Plastic – Grade 1,Plastic,High,23,9,5.1,45,49,20.580000000000002,high,
M010,PLA Bioplastic – Grade 1,Metal,Medium,22,8,1.33,95,44,40.934000000000005,high,
M011,Molded Pulp Fiber – Grade 1,Bio-Foam,Medium,2,8,2.78,74,13,32.24400000000001,medium,
M012,Bagasse Fiber – Grade 1,Bio-Foam,High,26,7,6.04,53,15,22.792,medium,
M013,Bamboo Fiber – Grade 1,Plastic,High,25,7,4.09,71,14,30.382,medium,
M014,Aluminum Foil – Grade 1,Bio-Foam,Medium,30,6,7.69,76,33,31.262000000000004,high,
M015,Tinplate Steel – Grade 1,Bio-Foam,High,28,4,5.93,67,27,27.214000000000002,medium,
M016,Stainless Steel – Grade 1,Glass,Medium,20,6,1.28,97,34,40.944,high,
M017,EPS Foam – Grade 1,Glass,High,2,8,4.96,100,25,42.208000000000006,medium,
M018,EPE Foam – Grade 1,Plastic,High,13,7,2.83,94,13,39.833999999999996,medium,
M019,Bubble Wrap – Grade 1,Glass,Medium,26,8,1.89,95,50,40.822,high,
M020,Stretch Wrap Film – Grade 1,Bio-Foam,Medium,24,6,5.78,55,42,23.244,high,
M021,Thermal Insulation Foam – Grade 1,Bioplastic,Low,8,8,7.0,78,15,33.00000000000001,medium,
M022,Wax Coated Paper – Grade 1,Bioplastic,High,15,7,6.65,48,13,20.67,medium,
M023,Greaseproof Paper – Grade 1,Glass,Medium,22,8,3.71,41,36,18.858,high,
M024,Glassine Paper – Grade 1,Paper,Low,19,9,1.75,80,49,35.25,high,
M025,Metalized PET Film – Grade 1,Paper,High,15,1,4.76,60,30,23.448,medium,
M026,Rubber Sheet – Grade 1,Paper,Medium,9,2,4.93,97,46,38.614000000000004,high,
M027,Cotton Fabric – Grade 1,Bio-Foam,Low,5,5,1.05,65,15,27.79,medium,
M028,Jute Fiber Cloth – Grade 1,Bio-Foam,High,12,9,6.7,43,25,19.46,medium,
M029,Nonwoven PP Fabric – Grade 1,Metal,Medium,24,5,1.87,80,36,33.626,high,
M030,Canvas Fabric – Grade 1,Plastic,Medium,15,3,1.39,100,11,40.922000000000004,medium,
M031,Cork Sheet – Grade 1,Metal,Low,25,5,3.33,71,19,29.734,medium,
M032,Particle Board – Grade 1,Glass,Medium,25,5,4.49,70,46,29.102,high,
M033,MDF Board – Grade 1,Glass,High,12,1,4.2,44,30,17.16,medium,
M034,PVC Sheet – Grade 1,Bio-Foam,Low,8,2,4.51,59,8,23.498,low,
M035,ABS Plastic – Grade 1,Plastic,High,14,1,4.39,100,15,39.522,medium,
M036,Polycarbonate Sheet – Grade 1,Plastic,Medium,29,1,5.35,45,45,17.33,high,
M037,Acrylic Sheet – Grade 1,Paper,High,24,8,2.17,97,15,41.56600000000001,medium,
M038,Nylon Film – Grade 1,Paper,Low,28,4,2.06,57,44,23.988000000000003,high,
M039,Polyester Fabric – Grade 1,Paper,Low,23,7,5.85,56,5,24.03,low,
M040,Carbon Fiber Sheet – Grade 1,Bioplastic,Medium,12,4,1.8,93,48,38.440000000000005,high,
M041,Corrugated Kraft Board – Grade 2,Plastic,Low,8,6,4.72,67,25,28.256000000000004,medium,
M042,Recycled Paperboard – Grade 2,Bio-Foam,Medium,17,1,4.84,71,36,27.832,high,
M043,Virgin Paperboard – Grade 2,Metal,High,4,1,6.79,89,24,34.642,medium,
M044,Glass – Soda Lime – Grade 2,Glass,Medium,26,8,3.04,42,6,19.392,low,
M045,PET Plastic – Grade 2,Bioplastic,Low,28,7,2.54,87,30,37.092,medium,
M046,Recycled PET – Grade 2,Plastic,Medium,2,9,7.44,49,27,21.712000000000003,medium,
M047,HDPE Plastic – Grade 2,Paper,Low,16,6,1.11,100,34,42.178,high,
M048,LDPE Plastic – Grade 2,Bioplastic,Medium,21,6,1.08,90,14,38.184,medium,
M049,PP Plastic – Grade 2,Paper,Medium,10,4,4.2,51,26,21.160000000000004,medium,
M050,PLA Bioplastic – Grade 2,Plastic,Low,27,7,6.55,75,27,31.49,medium,
M051,Molded Pulp Fiber – Grade 2,Glass,Medium,6,6,7.92,47,40,19.616000000000003,high,
M052,Bagasse Fiber – Grade 2,Metal,Low,10,5,4.63,69,36,28.674000000000003,high,
M053,Bamboo Fiber – Grade 2,Metal,Low,8,9,7.49,68,9,29.302000000000003,low,
M054,Aluminum Foil – Grade 2,Plastic,Medium,23,9,5.64,73,48,31.672000000000004,high,
M055,Tinplate Steel – Grade 2,Plastic,High,6,3,3.16,45,14,18.567999999999998,medium,
M056,Stainless Steel – Grade 2,Bioplastic,Low,29,7,2.98,61,12,26.604000000000003,medium,
M057,EPS Foam – Grade 2,Plastic,Low,15,1,5.48,59,33,22.904,high,
M058,EPE Foam – Grade 2,Plastic,Low,7,6,1.6,44,46,19.68,high,
M059,Bubble Wrap – Grade 2,Bio-Foam,Medium,23,1,4.81,63,14,24.638,medium,
M060,Stretch Wrap Film – Grade 2,Glass,Medium,2,2,3.15,48,46,19.370000000000005,high,
M061,Thermal Insulation Foam – Grade 2,Bioplastic,Low,3,3,3.04,58,42,23.792,high,
M062,Wax Coated Paper – Grade 2,Plastic,Medium,27,5,6.08,55,30,22.784,medium,
M063,Greaseproof Paper – Grade 2,Paper,Medium,26,1,1.29,96,13,38.542,medium,
M064,Glassine Paper – Grade 2,Metal,Low,21,3,2.74,57,18,23.451999999999998,medium,
M065,Metalized PET Film – Grade 2,Plastic,Low,9,7,4.28,83,5,35.144,low,
M066,Rubber Sheet – Grade 2,Glass,High,11,5,1.75,44,8,19.25,low,
M067,Cotton Fabric – Grade 2,Metal,Low,10,3,4.99,42,12,17.002,medium,
M068,Jute Fiber Cloth – Grade 2,Glass,Medium,9,1,5.74,88,9,34.452,low,
M069,Nonwoven PP Fabric – Grade 2,Paper,Medium,25,7,6.75,47,49,20.25,high,
M070,Canvas Fabric – Grade 2,Plastic,Low,11,9,6.15,92,30,39.17000000000001,medium,
M071,Cork Sheet – Grade 2,Plastic,High,5,8,3.75,77,47,33.25,high,
M072,Particle Board – Grade 2,Paper,High,24,8,6.83,66,42,28.234,high,
M073,MDF Board – Grade 2,Glass,High,29,9,6.93,62,16,27.014000000000003,medium,
M074,PVC Sheet – Grade 2,Metal,Low,3,8,3.66,52,22,23.268,medium,
M075,ABS Plastic – Grade 2,Plastic,Medium,23,1,3.36,75,28,29.727999999999998,medium,
M076,Polycarbonate Sheet – Grade 2,Metal,Low,26,6,1.04,65,28,28.192,medium,
M077,Acrylic Sheet – Grade 2,Bio-Foam,Medium,7,7,2.95,96,22,40.61,medium,
M078,Nylon Film – Grade 2,Paper,High,2,1,4.33,42,50,16.334,high,
M079,Polyester Fabric – Grade 2,Metal,Medium,18,9,3.42,91,42,39.316,high,
M080,Carbon Fiber Sheet – Grade 2,Plastic,Medium,4,1,1.45,50,14,20.11,medium,
M081,Corrugated Kraft Board – Grade 3,Bio-Foam,Low,19,6,7.52,92,29,37.696000000000005,medium,
M082,Recycled Paperboard – Grade 3,Glass,Medium,9,2,4.51,48,16,19.098000000000003,medium,
M083,Virgin Paperboard – Grade 3,Bio-Foam,Low,20,3,1.38,82,29,33.724000000000004,medium,
M084,Glass – Soda Lime – Grade 3,Paper,Low,10,10,6.41,50,35,22.718,high,
M085,PET Plastic – Grade 3,Metal,Low,15,6,2.37,63,19,27.126,medium,
M086,Recycled PET – Grade 3,Glass,High,16,5,4.19,75,10,31.162,low,
M087,HDPE Plastic – Grade 3,Bio-Foam,High,21,6,7.86,93,20,38.028,medium,
M088,LDPE Plastic – Grade 3,Glass,High,10,1,7.45,57,34,21.71,high,
M089,PP Plastic – Grade 3,Paper,Medium,29,7,1.7,62,30,27.26,medium,
M090,PLA Bioplastic – Grade 3,Glass,Low,16,1,5.49,51,23,19.702,medium,
M091,Molded Pulp Fiber – Grade 3,Paper,Low,10,9,3.88,68,43,30.024000000000004,high,
M092,Bagasse Fiber – Grade 3,Bio-Foam,Medium,3,4,1.38,62,31,26.124000000000002,high,
M093,Bamboo Fiber – Grade 3,Plastic,High,18,9,1.67,64,34,28.866000000000003,high,
M094,Aluminum Foil – Grade 3,Metal,High,14,6,3.22,69,45,29.356,high,
M095,Tinplate Steel – Grade 3,Metal,High,6,3,2.52,67,18,27.496,medium,
M096,Stainless Steel – Grade 3,Glass,High,25,7,2.34,87,47,37.132000000000005,high,
M097,EPS Foam – Grade 3,Plastic,Medium,28,5,7.05,55,13,22.59,medium,
M098,EPE Foam – Grade 3,Plastic,High,23,6,3.25,71,14,30.150000000000006,medium,
