material_id,eco_alternative,category,weight_capacity_upto
MAT002,Molded Pulp,Skincare,1
MAT002,Molded Pulp,Face Care,1
MAT012,Hemp Fiber,Cosmetics,2
MAT012,Hemp Fiber,Premium Beauty,2
MAT034,Starch-Based Film,Toiletries,1
MAT034,Starch-Based Film,Travel Kits,1
MAT017,Paper Foam,Soaps,1
MAT017,Paper Foam,Bath Products,1
MAT008,PLA Plastic,Creams & Lotions,1
MAT008,PLA Plastic,Cosmetic Containers,1
MAT021,Recycled Molded Fiber,FMCG Products,2
MAT021,Recycled Molded Fiber,Household Care,2
MAT033,Recycled Paper Foam,Perfumes,1
MAT033,Recycled Paper Foam,Gift Sets,1
MAT026,Paper Honeycomb,Bulk FMCG,5
