product_id,product_name,sector,main_packaging_material,product_strength_req,weight_capacity_score,barrier_score,biodegradability_score,co2_emission_score,recyclability_percent_x,cost_score,reuse_potential_score,material_id,material_name,material_strength,weight_cap,biodegradability,co2_emission,recyclability_percent_y,strength_gap,weight_gap,predicted_cost,predicted_co2,cost_norm,co2_norm,strength_gap_norm,weight_gap_norm,final_score,rank
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,13,Aluminium Cans / Tins,5,5,0,55,85,2,2,2.9441831752577237,54.70223373814242,0.31472772508590785,0.10739879326976798,1.0,1.0,3.5778734816443243,1.0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,21,Recycled Steel Tins,5,5,0,60,90,2,2,3.0594996038533186,59.59154071145904,0.3531665346177729,0.22531436488485657,1.0,1.0,3.4215191004973704,2.0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,11,Pcr Hdpe/Ldpe,4,4,0,55,55,1,1,2.8919129246604043,54.66277559220874,0.29730430822013476,0.106447179910649,0.8,0.8,3.196248511869216,3.0
2,Laptop shipping pack,Electronics,heavy corrugated cardboard + paper padding,3,4,3,88,70,73,3,2,13,Aluminium Cans / Tins,5,5,0,55,85,2,1,2.9551864562259804,54.70223373814242,0.31839548540866014,0.10739879326976798,1.0,0.8,3.374205721321572,1.0
2,Laptop shipping pack,Electronics,heavy corrugated cardboard + paper padding,3,4,3,88,70,73,3,2,21,Recycled Steel Tins,5,5,0,60,90,2,1,3.0543414899084396,59.59154071145904,0.3514471633028132,0.22531436488485657,1.0,0.8,3.22323847181233,2.0
2,Laptop shipping pack,Electronics,heavy corrugated cardboard + paper padding,3,4,3,88,70,73,3,2,11,Pcr Hdpe/Ldpe,4,4,0,55,55,1,0,2.9357783651882285,54.66277559220874,0.3119261217294095,0.106447179910649,0.8,0.6000000000000001,2.9816266983599413,3.0
3,Earbuds/headphones retail box,Electronics,folding boxboard + paper insert,3,3,3,85,70,75,3,2,13,Aluminium Cans / Tins,5,5,0,55,85,2,2,2.9441831752577237,54.70223373814242,0.31472772508590785,0.10739879326976798,1.0,1.0,3.5778734816443243,1.0
3,Earbuds/headphones retail box,Electronics,folding boxboard + paper insert,3,3,3,85,70,75,3,2,21,Recycled Steel Tins,5,5,0,60,90,2,2,3.0594996038533186,59.59154071145904,0.3531665346177729,0.22531436488485657,1.0,1.0,3.4215191004973704,2.0
3,Earbuds/headphones retail box,Electronics,folding boxboard + paper insert,3,3,3,85,70,75,3,2,11,Pcr Hdpe/Ldpe,4,4,0,55,55,1,1,2.8919129246604043,54.66277559220874,0.29730430822013476,0.106447179910649,0.8,0.8,3.196248511869216,3.0
4,Fragile gadget shipper with loose fill,Electronics,cardboard box + starch‑based packing peanuts,3,3,3,90,78,55,3,2,13,Aluminium Cans / Tins,5,5,0,55,85,2,2,2.9441831752577237,54.70223373814242,0.31472772508590785,0.10739879326976798,1.0,1.0,3.5778734816443243,1.0
4,Fragile gadget shipper with loose fill,Electronics,cardboard box + starch‑based packing peanuts,3,3,3,90,78,55,3,2,21,Recycled Steel Tins,5,5,0,60,90,2,2,3.0594996038533186,59.59154071145904,0.3531665346177729,0.22531436488485657,1.0,1.0,3.4215191004973704,2.0
4,Fragile gadget shipper with loose fill,Electronics,cardboard box + starch‑based packing peanuts,3,3,3,90,78,55,3,2,11,Pcr Hdpe/Ldpe,4,4,0,55,55,1,1,2.8919129246604043,54.66277559220874,0.29730430822013476,0.106447179910649,0.8,0.8,3.196248511869216,3.0
5,Snack bar wrapper,Food,compostable pla/cellulose multilayer film,3,3,4,80,75,28,4,1,13,Aluminium Cans / Tins,5,5,0,55,85,2,2,3.126725080475079,54.70223373814242,0.3755750268250263,0.10739879326976798,1.0,1.0,3.517026179905206,1.0
5,Snack bar wrapper,Food,compostable pla/cellulose multilayer film,3,3,4,80,75,28,4,1,21,Recycled Steel Tins,5,5,0,60,90,2,2,3.0906853252956203,59.59154071145904,0.36356177509854015,0.22531436488485657,1.0,1.0,3.411123860016603,2.0
5,Snack bar wrapper,Food,compostable pla/cellulose multilayer film,3,3,4,80,75,28,4,1,10,"Pcr Pet (Bottles, Trays)",4,4,0,55,60,1,1,3.1117757977316796,54.58064104464259,0.37059193257722656,0.10446633841747532,0.8,0.8,3.1249417290052977,3.0
6,Chips / dry snacks bag,Food,high‑barrier bio‑based or pe film with coating,3,3,5,65,55,20,3,1,13,Aluminium Cans / Tins,5,5,0,55,85,2,2,3.0,54.70223373814242,0.33333333333333337,0.10739879326976798,1.0,1.0,3.5592678733968985,1.0
6,Chips / dry snacks bag,Food,high‑barrier bio‑based or pe film with coating,3,3,5,65,55,20,3,1,21,Recycled Steel Tins,5,5,0,60,90,2,2,3.0,59.59154071145904,0.33333333333333337,0.22531436488485657,1.0,1.0,3.44135230178181,2.0
6,Chips / dry snacks bag,Food,high‑barrier bio‑based or pe film with coating,3,3,5,65,55,20,3,1,10,"Pcr Pet (Bottles, Trays)",4,4,0,55,60,1,1,3.0,54.58064104464259,0.33333333333333337,0.10446633841747532,0.8,0.8,3.162200328249191,3.0
7,Ready‑meal tray + lid,Food,bagasse tray + pla or cellulose lid film,3,3,4,85,80,45,3,1,13,Aluminium Cans / Tins,5,5,0,55,85,2,2,3.126725080475079,54.70223373814242,0.3755750268250263,0.10739879326976798,1.0,1.0,3.517026179905206,1.0
7,Ready‑meal tray + lid,Food,bagasse tray + pla or cellulose lid film,3,3,4,85,80,45,3,1,21,Recycled Steel Tins,5,5,0,60,90,2,2,3.0906853252956203,59.59154071145904,0.36356177509854015,0.22531436488485657,1.0,1.0,3.411123860016603,2.0
7,Ready‑meal tray + lid,Food,bagasse tray + pla or cellulose lid film,3,3,4,85,80,45,3,1,10,"Pcr Pet (Bottles, Trays)",4,4,0,55,60,1,1,3.1117757977316796,54.58064104464259,0.37059193257722656,0.10446633841747532,0.8,0.8,3.1249417290052977,3.0
8,Beverage can,Food,aluminium can,5,5,5,0,55,85,3,2,13,Aluminium Cans / Tins,5,5,0,55,85,0,0,3.0,54.70223373814242,0.33333333333333337,0.10739879326976798,0.6000000000000001,0.6000000000000001,2.7592678733968987,1.0
8,Beverage can,Food,aluminium can,5,5,5,0,55,85,3,2,21,Recycled Steel Tins,5,5,0,60,90,0,0,3.0,59.59154071145904,0.33333333333333337,0.22531436488485657,0.6000000000000001,0.6000000000000001,2.64135230178181,2.0
8,Beverage can,Food,aluminium can,5,5,5,0,55,85,3,2,10,"Pcr Pet (Bottles, Trays)",4,4,0,55,60,-1,-1,3.0,54.58064104464259,0.33333333333333337,0.10446633841747532,0.4000000000000001,0.4000000000000001,2.3622003282491915,3.0
9,Sauce or jam jar,Food,glass jar + metal lid,4,3,5,0,50,82,3,4,13,Aluminium Cans / Tins,5,5,0,55,85,1,2,3.0,54.70223373814242,0.33333333333333337,0.10739879326976798,0.8,1.0,3.359267873396899,1.0
9,Sauce or jam jar,Food,glass jar + metal lid,4,3,5,0,50,82,3,4,21,Recycled Steel Tins,5,5,0,60,90,1,2,3.0,59.59154071145904,0.33333333333333337,0.22531436488485657,0.8,1.0,3.24135230178181,2.0
