product_id,product_name,product_category_x,product_weight_kg,fragility_level,required_strength_score,preferred_biodegradability_score,max_packaging_cost_inr,temperature_sensitive,material_id,material_name,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_kg,recyclability_percent,cost_per_unit_inr,product_category_y,used_for_products,target_cost_inr,target_co2_kg
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M001,Single-wall corrugated cardboard,8,15,9,1.6,92,55,Electronics,Shipping boxes,57.2,1.7100000000000002
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M002,Double-wall corrugated cardboard,9,20,8,2.0,90,75,Electronics,Heavy-duty boxes,77.2,2.11
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M003,Triple-wall corrugated cardboard,10,30,7,2.5,88,95,Industrial,Machinery packaging,97.2,2.61
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M004,Kraft linerboard,7,12,9,1.5,90,50,Food,Outer cartons,52.2,1.61
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M005,Test linerboard,7,10,8,1.8,85,48,Retail,Packaging cartons,50.2,1.9100000000000001
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M006,Solid bleached sulfate (SBS),7,10,6,2.6,82,75,Cosmetics,Premium boxes,77.2,2.71
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M007,Solid unbleached board (SUB),8,12,7,2.2,85,70,Food,Dry food boxes,72.2,2.31
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M008,Folding boxboard (FBB),7,9,8,2.0,88,65,Pharma,Medicine cartons,67.2,2.11
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M009,Chipboard,6,8,7,2.4,80,40,Retail,Cereal boxes,42.2,2.51
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M010,Thick-wall molded pulp,6,8,10,1.2,88,45,Electronics,Protective trays,47.2,1.31
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M011,Thin-wall molded pulp,5,6,10,1.0,90,42,Electronics,Insert trays,44.2,1.11
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M012,Cellulose acetate film,4,2,8,1.5,60,85,Food,Wrappers,87.2,1.61
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M013,Glassine paper,4,3,7,1.7,65,38,Food,Bakery wraps,40.2,1.81
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M014,Wax-coated paper,4,3,6,2.2,55,40,Food,Greaseproof wraps,42.2,2.31
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M015,Greaseproof paper,4,3,7,1.9,60,42,Food,Fast food wraps,44.2,2.01
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M016,Jute fiber sheet,7,12,9,1.7,80,95,Agriculture,Produce sacks,97.2,1.81
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M017,Cotton textile wrap,6,8,8,2.1,75,105,Retail,Reusable bags,107.2,2.21
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M018,Hemp fiber paper,6,7,9,1.4,78,90,Retail,Eco bags,92.2,1.51
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M019,Kenaf fiber board,7,10,9,1.6,80,88,Industrial,Boards,90.2,1.7100000000000002
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M020,Rice husk fiber board,6,9,8,1.8,75,85,Food,Food boxes,87.2,1.9100000000000001
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M021,Wheat straw pulp board,6,8,9,1.5,78,82,Food,Takeaway boxes,84.2,1.61
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M022,Banana fiber paper,5,6,9,1.3,80,80,Retail,Paper bags,82.2,1.4100000000000001
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M023,Areca leaf plates,5,4,10,1.1,70,65,Food,Disposable plates,67.2,1.2100000000000002
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M024,Paper foam,5,5,9,1.2,85,70,Electronics,Cushioning,72.2,1.31
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M025,Honeycomb paperboard,8,18,9,1.8,90,90,Industrial,Pallets,92.2,1.9100000000000001
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M026,PLA bioplastic,5,3,8,2.9,60,95,Food,Containers,97.2,3.01
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M027,PHA bioplastic,5,3,9,2.4,65,110,Food,Compostable packs,112.2,2.51
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M028,PBS bioplastic,5,3,8,2.7,62,100,Food,Flexible packaging,102.2,2.81
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M029,Starch-based bioplastic,5,3,8,2.6,65,90,Food,Carry bags,92.2,2.71
P001,Smartphone,Electronics,0.22,High,7,7,100,No,M030,Sugarcane bagasse pulp,5,4,10,1.1,75,60,Food,Plates,62.2,1.2100000000000002
