product_id,product_name,product_category,product_weight_g,product_volume_cm3,price_inr,fragility_level,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material
PRD0001,Sugar Lipstick 30 g,Cosmetics,30,28.09,83.48,High,Low,Low,180,Tube,HDPE Plastic
PRD0002,Head & Shoulders Shampoo 30 g,Personal Care,30,28.29,70.42,Medium,Low,Low,30,Bottle,HDPE Plastic
PRD0003,Nestlé Namkeen 60 g,Food,60,82.42,188,Medium,Low,Medium,365,Pouch,LDPE Plastic
PRD0004,Head & Shoulders Handwash 30 g,Personal Care,30,41.64,29.17,Medium,Low,Low,1825,Bottle,HDPE Plastic
PRD0005,Britannia Cheese 100 g,Dairy,100,117.03,291.24,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0006,Amul Butter 500 g,Dairy,500,474.36,1717.4,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0007,Head & Shoulders Shampoo 2000 g,Personal Care,2000,2480.4,4764.18,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0008,HP Laptop 500 g,Electronics,500,524.94,1869.6,High,Low,Low,720,Box,Corrugated Cardboard
PRD0009,Tropicana Juice 2000 g,Beverages,2000,2675.14,6997.9,Medium,Low,Low,180,Bottle,PET Plastic
PRD0010,Haldiram Bhujia 1000 g,Food,1000,982.48,2065.61,Medium,Low,Medium,240,Pouch,LDPE Plastic
PRD0011,Dolo Syrup 500 g,Healthcare,500,535.03,1047.83,Medium,High,Low,240,Bottle,HDPE Plastic
PRD0012,Mi Smartphone 400 g,Electronics,400,454.82,1302.95,High,Low,Low,7,Box,Corrugated Cardboard
PRD0013,Surf Excel Detergent 400 g,Home Care,400,503.33,1632.82,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0014,Pears Body Wash 100 g,Personal Care,100,120.55,262.67,Medium,Low,Low,30,Bottle,HDPE Plastic
PRD0015,Lizol Floor Cleaner 1000 g,Home Care,1000,1095.47,4024.26,Medium,Low,Low,7,Bottle,HDPE Plastic
PRD0016,Britannia Cheese 400 g,Dairy,400,536.68,1532.53,Medium,High,Medium,1825,Pouch,HDPE Plastic
PRD0017,Surf Excel Detergent 500 g,Home Care,500,620.68,1103.82,Medium,Low,Low,30,Bottle,HDPE Plastic
PRD0018,Amul Butter 100 g,Dairy,100,101.6,166.33,Medium,High,Medium,240,Pouch,HDPE Plastic
PRD0019,Britannia Cheese 30 g,Dairy,30,29.19,83.34,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0020,Sugar Face Cream 2000 g,Cosmetics,2000,2699.53,7371.77,High,Low,Low,1825,Tube,HDPE Plastic
PRD0021,Benadryl Cough Syrup 1000 g,Healthcare,1000,951.77,3146.87,Medium,High,Low,7,Bottle,HDPE Plastic
PRD0022,Tropicana Juice 2000 g,Beverages,2000,1962.3,4116.4,Medium,Low,Low,7,Bottle,PET Plastic
PRD0023,Haldiram Bhujia 100 g,Food,100,116.83,431.11,Medium,Low,Medium,365,Pouch,LDPE Plastic
PRD0024,Dabur Shampoo 1000 g,Personal Care,1000,974.28,1733.35,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0025,Lakme Foundation 60 g,Cosmetics,60,79.47,268.47,High,Low,Low,240,Tube,HDPE Plastic
PRD0026,Samsung Mobile Phone 60 g,Electronics,60,58.32,214.43,High,Low,Low,720,Box,Corrugated Cardboard
PRD0027,Vim Dishwash Liquid 30 g,Home Care,30,30.08,129.67,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0028,Milky Mist Buttermilk 400 g,Dairy,400,555.7,1597.72,Medium,High,Medium,720,Pouch,HDPE Plastic
PRD0029,Surf Excel Detergent 100 g,Home Care,100,107.78,162.43,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0030,Sugar Face Cream 200 g,Cosmetics,200,261.83,707.51,High,Low,Low,30,Tube,HDPE Plastic
PRD0031,Coca-Cola Soft Drink 500 g,Beverages,500,632.75,2230.77,Medium,Low,Low,1825,Bottle,PET Plastic
PRD0032,Vim Dishwash Liquid 200 g,Home Care,200,249.25,867.82,Medium,Low,Low,240,Bottle,HDPE Plastic
PRD0033,Lakme Foundation 200 g,Cosmetics,200,190.22,507.86,High,Low,Low,180,Tube,HDPE Plastic
PRD0034,Maaza Mango Drink 2000 g,Beverages,2000,2709.2,4145.65,Medium,Low,Low,720,Bottle,PET Plastic
PRD0035,Haldiram Namkeen 200 g,Food,200,227.8,292.11,Medium,Low,Medium,1825,Pouch,LDPE Plastic
PRD0036,Sugar Lipstick 2000 g,Cosmetics,2000,2201.39,8606.3,High,Low,Low,720,Tube,HDPE Plastic
PRD0037,Amul Butter 30 g,Dairy,30,29.27,124.44,Medium,High,Medium,1825,Pouch,HDPE Plastic
PRD0038,Milky Mist Buttermilk 500 g,Dairy,500,488.98,1414.33,Medium,High,Medium,7,Pouch,HDPE Plastic
PRD0039,Head & Shoulders Shampoo 100 g,Personal Care,100,111.69,402.54,Medium,Low,Low,1825,Bottle,HDPE Plastic
PRD0040,Tropicana Juice 200 g,Beverages,200,209.3,338,Medium,Low,Low,365,Bottle,PET Plastic
PRD0041,Lakme Compact 100 g,Cosmetics,100,93.05,353.77,High,Low,Low,240,Tube,HDPE Plastic
PRD0042,Dolo Syrup 30 g,Healthcare,30,40.09,110.19,Medium,High,Low,365,Bottle,HDPE Plastic
PRD0043,Dabur Shampoo 100 g,Personal Care,100,113.67,348.32,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0044,Pears Body Wash 60 g,Personal Care,60,80.5,60.61,Medium,Low,Low,30,Bottle,HDPE Plastic
PRD0045,Lizol Floor Cleaner 2000 g,Home Care,2000,2361.73,7223.95,Medium,Low,Low,7,Bottle,HDPE Plastic
PRD0046,Samsung Mobile Phone 400 g,Electronics,400,450.47,1109.26,High,Low,Low,240,Box,Corrugated Cardboard
PRD0047,Coca-Cola Soft Drink 200 g,Beverages,200,264,261.48,Medium,Low,Low,7,Bottle,PET Plastic
PRD0048,Benadryl Cough Syrup 60 g,Healthcare,60,74.13,143.09,Medium,High,Low,30,Bottle,HDPE Plastic
PRD0049,Lizol Floor Cleaner 500 g,Home Care,500,485.74,2033.24,Medium,Low,Low,240,Bottle,HDPE Plastic
PRD0050,Coca-Cola Soft Drink 1000 g,Beverages,1000,1342.47,1402.34,Medium,Low,Low,720,Bottle,PET Plastic
PRD0051,Tropicana Juice 1000 g,Beverages,1000,1069.56,1524.26,Medium,Low,Low,180,Bottle,PET Plastic
PRD0052,Maggi Noodles 500 g,Food,500,588.51,1214.85,Medium,Low,Medium,7,Pouch,LDPE Plastic
PRD0053,Benadryl Cough Syrup 60 g,Healthcare,60,57.39,251.92,Medium,High,Low,30,Bottle,HDPE Plastic
PRD0054,Haldiram Namkeen 400 g,Food,400,367.92,1472.92,Medium,Low,Medium,180,Pouch,LDPE Plastic
PRD0055,Britannia Curd 400 g,Dairy,400,441.19,1114.17,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0056,HP Laptop 60 g,Electronics,60,62.37,225.51,High,Low,Low,30,Box,Corrugated Cardboard
PRD0057,Dolo Tablet Pack 30 g,Healthcare,30,36.52,112.98,Medium,High,Low,7,Bottle,HDPE Plastic
PRD0058,Tropicana Juice 60 g,Beverages,60,67.61,123.29,Medium,Low,Low,365,Bottle,PET Plastic
PRD0059,Benadryl Cough Syrup 30 g,Healthcare,30,34.9,50.47,Medium,High,Low,7,Bottle,HDPE Plastic
PRD0060,Britannia Butter 100 g,Dairy,100,100.09,195.44,Medium,High,Medium,180,Pouch,HDPE Plastic
PRD0061,Maaza Mango Drink 100 g,Beverages,100,103.53,377.36,Medium,Low,Low,180,Bottle,PET Plastic
PRD0062,Dabur Body Wash 200 g,Personal Care,200,231.42,341.8,Medium,Low,Low,240,Bottle,HDPE Plastic
PRD0063,Nestlé Namkeen 1000 g,Food,1000,1385.16,1938.8,Medium,Low,Medium,30,Pouch,LDPE Plastic
PRD0064,Maaza Mango Drink 100 g,Beverages,100,110.23,208.59,Medium,Low,Low,7,Bottle,PET Plastic
PRD0065,Amul Milk 400 g,Dairy,400,446.15,401.99,Medium,High,Medium,720,Pouch,HDPE Plastic
PRD0066,Benadryl Cough Syrup 400 g,Healthcare,400,369.05,594.32,Medium,High,Low,180,Bottle,HDPE Plastic
PRD0067,Mi Laptop 500 g,Electronics,500,690.45,2199.35,High,Low,Low,365,Box,Corrugated Cardboard
PRD0068,Sugar Face Cream 400 g,Cosmetics,400,403.57,590.78,High,Low,Low,180,Tube,HDPE Plastic
PRD0069,Dolo Tablet Pack 400 g,Healthcare,400,460.55,617.45,Medium,High,Low,365,Bottle,HDPE Plastic
PRD0070,Dabur Hair Oil 60 g,Personal Care,60,58.32,178.27,Medium,Low,Low,240,Bottle,HDPE Plastic
