Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_kgCO2e_per_kg,Recyclability_percent
Corrugated cardboard (virgin),25,20,8.5,0.85,88
Corrugated cardboard (recycled),22,18,8.5,0.65,92
Paperboard / Cartonboard,30,15,8,0.95,85
Kraft paper,40,10,8.5,0.9,80
Recycled paper,28,8,8.5,0.7,90
Molded pulp,10,12,9,0.6,85
Bagasse fiber,12,10,9,0.55,70
Bamboo fiber,35,15,8,0.8,60
Wheat straw fiber,9,8,9,0.5,65
Hemp fiber,45,18,8.5,0.75,55
Jute fiber,30,20,8.5,0.9,50
Cotton fiber (reusable),25,25,8,2.1,45
Cellulose film,70,8,8.5,1.8,40
Wood veneer,55,30,7.5,1.2,60
Cork sheet,8,10,8,0.3,50
Mycelium packaging,1.2,6,9.5,0.25,20
Seaweed-based film,25,3,9.5,0.45,10
PLA bioplastic,60,12,7.5,1.7,25
PHA bioplastic,40,10,9,2,20
PBS bioplastic,35,10,7,2.4,15
PBAT compostable plastic,25,8,6.5,2.6,10
Starch-based bioplastic,18,7,8.5,1.4,10
Compostable mailer blend,28,9,7,2.2,10
Bio-PE (sugarcane based),25,12,2,1.9,35
Recycled PET (rPET),55,18,1,1.2,80
PET (virgin),60,18,0.5,2.7,55
HDPE,28,20,0.5,1.9,40
LDPE,12,15,0.5,1.8,35
Polypropylene (PP),35,18,0.5,1.7,30
Paper honeycomb core,4,10,9,0.7,85
Starch foam (packing peanuts),0.8,4,9.5,0.6,5
Glass,45,40,0,1,95
Aluminum (recycled),90,35,0,0.8,95
Steel,250,50,0,2,90
