product_id,product_name,sector,main_packaging_material,product_strength_req,weight_capacity_score,barrier_score,biodegradability_score,co2_emission_score,recyclability_percent_x,cost_score,reuse_potential_score,material_id,material_name,material_strength,weight_cap,biodegradability,co2_emission,recyclability_percent_y,strength_gap,weight_gap
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,1,Recycled Cardboard / Paperboard,3,3,85,70,75,0,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,2,Molded Pulp (Recycled Paper Fiber),3,3,85,70,70,0,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,3,"Kraft Paper Wraps, Paper Padding",2,2,90,70,70,-1,-1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,4,Starch-Based Foams/Peanuts,2,3,95,85,30,-1,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,5,Mycelium-Based Molded Packaging,3,3,95,90,20,0,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,6,"Bagasse, Wheat-Straw, Other Agri Fibers",3,3,90,85,60,0,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,7,"Pla Bioplastic (Films, Rigid)",3,4,70,60,30,0,1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,8,"Other Compostable Bioplastics (Pha, Pbs)",3,3,85,75,25,0,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,9,Cellulose / Seaweed Bio-Films,2,2,95,90,25,-1,-1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,10,"Pcr Pet (Bottles, Trays)",4,4,0,55,60,1,1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,11,Pcr Hdpe/Ldpe,4,4,0,55,55,1,1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,12,"Glass (Bottles, Jars, Vials)",4,3,0,50,80,1,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,13,Aluminium Cans / Tins,5,5,0,55,85,2,2
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,14,"Bamboo (Components, Shells)",4,4,90,90,50,1,1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,15,"Cork, Wood, Wood-Composites",4,4,90,85,60,1,1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,16,Cotton/Jute Textile Bags,3,3,90,60,40,0,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,17,Hemp Fiber Molded Packaging,4,4,92,88,55,1,1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,18,Sugarcane Bagasse Sheets,3,3,88,82,65,0,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,19,Rice Husk Composites,3,3,85,85,50,0,0
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,20,Chitin/Chitosan Films (Mushroom/Shell),2,2,90,88,30,-1,-1
1,Smartphone box,Electronics,recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2,21,Recycled Steel Tins,5,5,0,60,90,2,2
