material_id,material_name,material_type,strength_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_kg,cost_per_kg,water_resistance,food_safe,industry_usage,sustainability_rating
1,Corrugated Cardboard,Paper-Based,7.5,15.0,0.85,90,0.7,1.2,Medium,TRUE,E-commerce,A
2,Molded Pulp,Pulp-Based,6.8,10.0,0.95,95,0.6,1.5,Low,TRUE,Electronics,A
3,PLA (Corn Starch),Plant-Based Polymer,8.2,20.0,0.70,0,1.4,2.8,High,TRUE,Food,B
4,Glass Jar (Virgin),Glass,9.5,30.0,0.00,100,1.8,3.5,High,TRUE,Beverages,B
5,Aluminum Foil,Metal,5.0,2.0,0.00,95,2.2,4.0,High,TRUE,Food,C
6,Bamboo Fiber,Natural Fiber,8.0,15.0,0.90,85,0.9,2.5,Medium,TRUE,Cosmetics,A
7,Mushroom Packaging,Mycelium,6.5,8.0,0.99,0,0.3,3.0,Low,TRUE,Luxury,A
8,Recycled HDPE,Recycled Plastic,8.8,25.0,0.10,100,1.2,1.8,High,FALSE,Industrial,B
9,Honeycomb Paper,Paper-Based,9.0,40.0,0.88,95,0.8,2.0,Low,FALSE,Furniture,A
10,Kraft Paper,Paper-Based,6.0,5.0,0.90,100,0.5,0.9,Low,TRUE,Apparel,A
11,Bio-Based Stretch Film,Plant-Based Polymer,7.2,12.0,0.65,60,1.5,2.2,High,TRUE,Logistics,B
12,Recycled PET,Recycled Plastic,8.5,20.0,0.15,100,1.1,1.6,High,TRUE,Beverages,B
13,Hemp Plastic,Natural Fiber,8.4,18.0,0.80,50,0.7,3.2,High,FALSE,Automotive,A
14,Glassine Paper,Paper-Based,4.5,1.5,0.92,100,0.6,1.4,Medium,TRUE,Bakery,A
15,Steel Tin,Metal,9.8,50.0,0.00,100,2.5,3.8,High,TRUE,Pantry,C
16,Seaweed Film,Natural Fiber,3.0,0.5,1.00,0,0.1,5.0,Low,TRUE,Food,A
17,Padded Paper Mailer,Paper-Based,6.5,4.0,0.85,90,0.9,1.1,Medium,FALSE,E-commerce,A
18,Carnauba Waxed Paper,Natural Fiber,5.5,3.0,0.95,80,0.8,2.0,High,TRUE,Dairy,A
19,Recycled Poly Mailer,Recycled Plastic,7.8,10.0,0.05,100,1.0,0.8,High,FALSE,Apparel,B
20,Jute Fabric Bag,Natural Fiber,9.2,35.0,0.98,100,0.4,2.2,Medium,TRUE,Grains,A
21,Sugarcane Bagasse,Pulp-Based,6.2,7.0,0.96,90,0.5,1.7,Medium,TRUE,Food,A
22,Acid-Free Tissue,Paper-Based,2.0,0.2,0.95,100,0.4,1.5,Low,FALSE,Fashion,A
23,Wood-Pulp Cellophane,Natural Fiber,5.2,2.5,0.90,0,1.1,2.5,Medium,TRUE,Confectionery,A
24,Burlap Sack,Natural Fiber,9.5,45.0,0.99,100,0.5,1.9,Medium,TRUE,Agriculture,A
25,Coconut Husk Fiber,Natural Fiber,7.5,12.0,0.97,0,0.6,2.8,Medium,FALSE,Home Decor,A
26,Recycled Aluminum,Metal,9.0,25.0,0.00,100,0.3,4.5,High,TRUE,Beverages,A
27,Cork Sheets,Natural Fiber,6.0,5.0,0.95,70,0.4,3.5,High,FALSE,Gifts,A
