material_id,material_type,strength,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit_inr,water_resistance,recycle_time_days,manufacturing_place
MAT001,Corrugated Cardboard,7,12,85,2.1,90,18,False,90,India
MAT002,Molded Pulp,6,8,92,1.8,88,15,False,60,India
MAT003,Biodegradable Plastic,8,15,65,3.9,60,28,True,180,China
MAT004,Kraft Paper,5,6,88,2.0,85,12,False,75,India
MAT005,Bamboo Fiber,9,18,95,1.6,92,35,True,120,Vietnam
MAT006,Mushroom Packaging,6,7,98,1.2,96,40,False,30,USA
MAT007,Recycled Paperboard,7,10,82,2.3,89,20,False,100,India
MAT008,PLA Plastic,8,14,70,3.4,65,30,True,160,Germany
MAT009,Cornstarch Packaging,6,9,90,2.5,80,22,False,110,India
MAT010,Sugarcane Bagasse,7,11,93,1.9,91,26,False,85,India
MAT011,Recycled PET,9,20,55,4.8,75,45,True,300,China
MAT012,Hemp Fiber,8,16,94,1.7,90,38,True,140,Nepal
MAT013,Jute Packaging,7,14,91,2.2,88,24,False,130,India
MAT014,Palm Leaf Packaging,6,8,96,1.5,93,19,False,50,India
MAT015,Seaweed Packaging,5,6,99,1.1,97,42,False,20,Indonesia
MAT016,Recycled Carton,7,10,80,2.6,87,21,False,95,India
MAT017,Paper Foam,6,9,86,2.4,84,23,False,100,India
MAT018,Bio-Composite,9,22,72,3.8,70,55,True,210,Japan
MAT019,Wood Wool,6,8,89,2.1,85,27,False,120,India
MAT020,Coconut Husk,7,12,94,1.8,92,29,False,90,India
MAT021,Recycled Molded Fiber,8,13,87,2.0,90,31,False,80,India
MAT022,Wheat Straw Packaging,6,7,95,1.4,94,18,False,60,India
MAT023,Banana Fiber,7,11,93,1.9,91,26,False,100,India
MAT024,Rice Husk Packaging,6,9,92,2.0,89,24,False,90,India
MAT025,Areca Leaf Packaging,5,6,97,1.3,95,17,False,40,India
MAT026,Paper Honeycomb,8,17,84,2.7,88,34,False,110,India
MAT027,Bagasse Foam,7,13,94,1.8,92,32,False,70,India
MAT028,Bio-Foam Sheet,6,10,78,3.0,82,28,True,150,Germany
MAT029,Recycled Kraft Board,7,14,83,2.4,89,27,False,120,India
MAT030,Natural Fiber Blend,8,16,90,2.2,88,36,True,140,India
MAT031,Agro Waste Composite,9,21,88,2.9,86,48,True,190,India
MAT032,Cellulose Fiber Mold,6,8,96,1.6,93,22,False,55,India
MAT033,Recycled Paper Foam,7,11,85,2.5,90,25,False,95,India
MAT034,Starch-Based Film,5,6,91,2.8,84,20,True,170,Thailand
MAT035,Natural Leaf Composite,6,9,97,1.7,95,28,False,65,India
