product_name,product_category,product_weight_g,product_volume_cm3,price_inr,fragility_level,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material
Sugar Lipstick 30 g,Cosmetics,30,28.09,83.48,High,Low,Low,180,Tube,HDPE Plastic
Head & Shoulders Shampoo 30 g,Personal Care,30,28.29,70.42,Medium,Low,Low,30,Bottle,HDPE Plastic
Nestlé Namkeen 60 g,Food,60,82.42,188.0,Medium,Low,Medium,365,Pouch,LDPE Plastic
Head & Shoulders Handwash 30 g,Personal Care,30,41.64,29.17,Medium,Low,Low,1825,Bottle,HDPE Plastic
Britannia Cheese 100 g,Dairy,100,117.03,291.24,Medium,High,Medium,365,Pouch,HDPE Plastic
Amul Butter 500 g,Dairy,500,474.36,1717.4,Medium,High,Medium,365,Pouch,HDPE Plastic
Head & Shoulders Shampoo 2000 g,Personal Care,2000,2480.4,4764.18,Medium,Low,Low,180,Bottle,HDPE Plastic
HP Laptop 500 g,Electronics,500,524.94,1869.6,High,Low,Low,720,Box,Corrugated Cardboard
Tropicana Juice 2000 g,Beverages,2000,2675.14,6997.9,Medium,Low,Low,180,Bottle,PET Plastic
Haldiram Bhujia 1000 g,Food,1000,982.48,2065.61,Medium,Low,Medium,240,Pouch,LDPE Plastic
Dolo Syrup 500 g,Healthcare,500,535.03,1047.83,Medium,High,Low,240,Bottle,HDPE Plastic
Mi Smartphone 400 g,Electronics,400,454.82,1302.95,High,Low,Low,7,Box,Corrugated Cardboard
Surf Excel Detergent 400 g,Home Care,400,503.33,1632.82,Medium,Low,Low,180,Bottle,HDPE Plastic
Pears Body Wash 100 g,Personal Care,100,120.55,262.67,Medium,Low,Low,30,Bottle,HDPE Plastic
Lizol Floor Cleaner 1000 g,Home Care,1000,1095.47,4024.26,Medium,Low,Low,7,Bottle,HDPE Plastic
Britannia Cheese 400 g,Dairy,400,536.68,1532.53,Medium,High,Medium,1825,Pouch,HDPE Plastic
Surf Excel Detergent 500 g,Home Care,500,620.68,1103.82,Medium,Low,Low,30,Bottle,HDPE Plastic
Amul Butter 100 g,Dairy,100,101.6,166.33,Medium,High,Medium,240,Pouch,HDPE Plastic
Britannia Cheese 30 g,Dairy,30,29.19,83.34,Medium,High,Medium,365,Pouch,HDPE Plastic
Sugar Face Cream 2000 g,Cosmetics,2000,2699.53,7371.77,High,Low,Low,1825,Tube,HDPE Plastic
Benadryl Cough Syrup 1000 g,Healthcare,1000,951.77,3146.87,Medium,High,Low,7,Bottle,HDPE Plastic
Haldiram Bhujia 100 g,Food,100,116.83,431.11,Medium,Low,Medium,365,Pouch,LDPE Plastic
Dabur Shampoo 1000 g,Personal Care,1000,974.28,1733.35,Medium,Low,Low,180,Bottle,HDPE Plastic
Lakme Foundation 60 g,Cosmetics,60,79.47,268.47,High,Low,Low,240,Tube,HDPE Plastic
Samsung Mobile Phone 60 g,Electronics,60,58.32,214.43,High,Low,Low,720,Box,Corrugated Cardboard
Vim Dishwash Liquid 30 g,Home Care,30,30.08,129.67,Medium,Low,Low,180,Bottle,HDPE Plastic
Milky Mist Buttermilk 400 g,Dairy,400,555.7,1597.72,Medium,High,Medium,720,Pouch,HDPE Plastic
Surf Excel Detergent 100 g,Home Care,100,107.78,162.43,Medium,Low,Low,365,Bottle,HDPE Plastic
Sugar Face Cream 200 g,Cosmetics,200,261.83,707.51,High,Low,Low,30,Tube,HDPE Plastic
Coca-Cola Soft Drink 500 g,Beverages,500,632.75,2230.77,Medium,Low,Low,1825,Bottle,PET Plastic
Vim Dishwash Liquid 200 g,Home Care,200,249.25,867.82,Medium,Low,Low,240,Bottle,HDPE Plastic
Lakme Foundation 200 g,Cosmetics,200,190.22,507.86,High,Low,Low,180,Tube,HDPE Plastic
Maaza Mango Drink 2000 g,Beverages,2000,2709.2,4145.65,Medium,Low,Low,720,Bottle,PET Plastic
Haldiram Namkeen 200 g,Food,200,227.8,292.11,Medium,Low,Medium,1825,Pouch,LDPE Plastic
Sugar Lipstick 2000 g,Cosmetics,2000,2201.39,8606.3,High,Low,Low,720,Tube,HDPE Plastic
Amul Butter 30 g,Dairy,30,29.27,124.44,Medium,High,Medium,1825,Pouch,HDPE Plastic
Milky Mist Buttermilk 500 g,Dairy,500,488.98,1414.33,Medium,High,Medium,7,Pouch,HDPE Plastic
Head & Shoulders Shampoo 100 g,Personal Care,100,111.69,402.54,Medium,Low,Low,1825,Bottle,HDPE Plastic
Tropicana Juice 200 g,Beverages,200,209.3,338.0,Medium,Low,Low,365,Bottle,PET Plastic
Lakme Compact 100 g,Cosmetics,100,93.05,353.77,High,Low,Low,240,Tube,HDPE Plastic
Dolo Syrup 30 g,Healthcare,30,40.09,110.19,Medium,High,Low,365,Bottle,HDPE Plastic
Dabur Shampoo 100 g,Personal Care,100,113.67,348.32,Medium,Low,Low,365,Bottle,HDPE Plastic
Pears Body Wash 60 g,Personal Care,60,80.5,60.61,Medium,Low,Low,30,Bottle,HDPE Plastic
Lizol Floor Cleaner 2000 g,Home Care,2000,2361.73,7223.95,Medium,Low,Low,7,Bottle,HDPE Plastic
Samsung Mobile Phone 400 g,Electronics,400,450.47,1109.26,High,Low,Low,240,Box,Corrugated Cardboard
Coca-Cola Soft Drink 200 g,Beverages,200,264.0,261.48,Medium,Low,Low,7,Bottle,PET Plastic
Benadryl Cough Syrup 60 g,Healthcare,60,74.13,143.09,Medium,High,Low,30,Bottle,HDPE Plastic
