product_id,product_name,product_category,product_subcategory,product_weight_g,volume_cm3,fragility_level,temperature_sensitivity,hazard_level,material_type,price_inr
P000001,Biotique Neem Face Wash,Cosmetics,Cream,250.0,289.0,High,Medium,Low,PBAT Bioplastic,
P000002,Seamless tangible architecture,Pharmaceuticals,OTC Medicine,80.0,212.0,High,Medium,Medium,Aluminum Foil,
P000003,Aashirvaad Atta 5kg,Food,Dairy,1039.0,1107.0,Low,High,Low,Metel,
P000004,Maybelline Mascara,Cosmetics,Cream,161.0,194.0,High,Medium,Low,LDPE Plastic,
P000005,Logitech MX Master 3 Mouse,Electronics,Audio Device,724.0,879.0,Medium,Low,Low,Notpla (Seaweed-based),
P000006,Programmable 24/7 project,Household Goods,Cleaning Supply,1095.0,1255.0,Low,Low,Medium,Coir Fiber,
P000007,L'Oréal Paris Shampoo 175ml,Cosmetics,Cream,154.0,269.0,High,Medium,Low,Cotton Fiber,
P000008,Maggi Noodles Pack,Food,Snack,51.0,101.0,Low,Low,Low,PHA Bioplastic,
P000009,Compatible real-time strategy,Apparel,Bottomwear,956.0,2283.0,Low,Low,Low,Rice Husk Composite,
P000010,Logitech MX Master 3 Mouse,Electronics,Mobile Device,153.0,201.0,High,Medium,Low,Kraft Paper,
P000011,Automated bottom-line website,Household Goods,Cleaning Supply,801.0,1152.0,High,Low,Medium,Glass (Borosilicate),
P000012,Multi-tiered hybrid intranet,Pharmaceuticals,Liquid Medicine,239.0,312.0,High,High,Medium,Cellulose Acetate,
P000013,Reduced scalable solution,Pharmaceuticals,Liquid Medicine,209.0,254.0,High,High,Medium,Seaweed Film,
P000014,Adaptive dynamic strategy,Apparel,Topwear,208.0,1550.0,Low,Low,Low,EVOH Film,
P000015,Samsung Galaxy S21,Electronics,Audio Device,489.0,1483.0,Medium,Low,Low,Rice Husk Composite,
P000016,Multi-lateral solution-oriented installation,Household Goods,Cleaning Supply,800.0,,Low,Low,Medium,Glass (Borosilicate),
P000017,Amul Butter 500g,Food,Snack,80.0,96.0,Low,Low,Low,PBAT Bioplastic,
P000018,Dove Body Lotion 250ml,Cosmetics,Cream,132.0,298.0,High,Medium,Low,LDPE Plastic,
P000019,Digitized intermediate core,Household Goods,Cleaning Supply,694.0,931.0,High,Low,Medium,Glaass,
P000020,Sunfeast Dark Fantasy Choco Fills,Food,Snack,68.0,88.0,Low,Low,Low,Newsprint,
P000021,Aashirvaad Atta 5kg,Food,Dairy,915.0,926.0,Low,High,Low,Aluminum Foil,
P000022,Samsung Galaxy S21,Electronics,Audio Device,670.0,1361.0,Medium,Low,Low,Coconut Husk Fiber,
