Material_Type,Strength,Weight_Capacity,Product_Category,Fragility_Level,Shipping_Type,Recyclability_Percentage,Biodegradability_Score,CO2_Emission_Score,Cost_Per_Unit,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
steel sae 1015,421,8.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,23.38888888888889,2.4514678899082574
steel sae 1015,424,8.48,electronics,High,International,65.0,0.4,200.0,18.0,1.0,23.555555555555557,2.4655045871559635
steel sae 1015,386,7.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,21.444444444444443,2.2877064220183487
steel sae 1020,448,8.96,electronics,High,International,65.0,0.4,200.0,18.0,1.0,24.88888888888889,2.5777981651376147
steel sae 1020,441,8.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,24.5,2.545045871559633
steel sae 1020,395,7.9,electronics,High,International,65.0,0.4,200.0,18.0,1.0,21.944444444444443,2.3298165137614677
steel sae 1022,503,10.06,electronics,High,International,65.0,0.4,200.0,18.0,1.0,27.944444444444443,2.835137614678899
steel sae 1022,483,9.66,electronics,High,International,65.0,0.4,200.0,18.0,1.0,26.833333333333332,2.7415596330275234
steel sae 1022,450,9.0,electronics,High,International,65.0,0.4,200.0,18.0,1.0,25.0,2.5871559633027523
steel sae 1030,552,11.040000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,30.666666666666668,3.0644036697247703
steel sae 1030,517,10.34,electronics,High,International,65.0,0.4,200.0,18.0,1.0,28.72222222222222,2.9006422018348625
steel sae 1030,464,9.28,electronics,High,International,65.0,0.4,200.0,18.0,1.0,25.77777777777778,2.6526605504587155
steel sae 1030,848,16.96,electronics,High,International,65.0,0.4,200.0,18.0,1.0,47.111111111111114,4.4493577981651375
steel sae 1040,621,12.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,34.5,3.387247706422018
steel sae 1040,590,11.8,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.77777777777778,3.242201834862385
steel sae 1040,519,10.38,electronics,High,International,65.0,0.4,200.0,18.0,1.0,28.833333333333332,2.91
steel sae 1040,779,15.58,electronics,High,International,65.0,0.4,200.0,18.0,1.0,43.27777777777778,4.12651376146789
steel sae 1050,724,14.48,electronics,High,International,65.0,0.4,200.0,18.0,1.0,40.22222222222222,3.8691743119266055
steel sae 1050,748,14.96,electronics,High,International,65.0,0.4,200.0,18.0,1.0,41.55555555555556,3.981467889908257
steel sae 1050,636,12.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,35.333333333333336,3.4574311926605508
steel sae 1050,979,19.580000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,54.388888888888886,5.062293577981651
steel sae 1060,814,16.28,electronics,High,International,65.0,0.4,200.0,18.0,1.0,45.22222222222222,4.290275229357798
steel sae 1060,776,15.52,electronics,High,International,65.0,0.4,200.0,18.0,1.0,43.111111111111114,4.112477064220183
steel sae 1060,626,12.52,electronics,High,International,65.0,0.4,200.0,18.0,1.0,34.77777777777778,3.4106422018348623
steel sae 1060,1103,22.06,electronics,High,International,65.0,0.4,200.0,18.0,1.0,61.27777777777778,5.642477064220183
steel sae 1080,965,19.3,electronics,High,International,65.0,0.4,200.0,18.0,1.0,53.611111111111114,4.996788990825688
steel sae 1080,1010,20.2,electronics,High,International,65.0,0.4,200.0,18.0,1.0,56.111111111111114,5.207339449541284
steel sae 1080,615,12.3,electronics,High,International,65.0,0.4,200.0,18.0,1.0,34.166666666666664,3.3591743119266053
steel sae 1080,1303,26.060000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,72.38888888888889,6.578256880733945
steel sae 1095,965,19.3,electronics,High,International,65.0,0.4,200.0,18.0,1.0,53.611111111111114,4.996788990825688
steel sae 1095,1014,20.28,electronics,High,International,65.0,0.4,200.0,18.0,1.0,56.333333333333336,5.22605504587156
steel sae 1095,657,13.14,electronics,High,International,65.0,0.4,200.0,18.0,1.0,36.5,3.5556880733944953
steel sae 1095,1289,25.78,electronics,High,International,65.0,0.4,200.0,18.0,1.0,71.61111111111111,6.512752293577981
steel sae 1117,487,9.74,electronics,High,International,65.0,0.4,200.0,18.0,1.0,27.055555555555557,2.760275229357798
steel sae 1117,467,9.34,electronics,High,International,65.0,0.4,200.0,18.0,1.0,25.944444444444443,2.6666972477064217
steel sae 1117,429,8.58,electronics,High,International,65.0,0.4,200.0,18.0,1.0,23.833333333333332,2.488899082568807
steel sae 1118,521,10.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,28.944444444444443,2.9193577981651373
steel sae 1118,477,9.540000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,26.5,2.71348623853211
steel sae 1118,450,9.0,electronics,High,International,65.0,0.4,200.0,18.0,1.0,25.0,2.5871559633027523
steel sae 1137,627,12.540000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,34.833333333333336,3.415321100917431
