material_name,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_kg,recyclability_percent,cost_per_unit_usd,moisture_resistance,heat_resistance,industry_standard,reuse_cycles,compostable
Palm Leaf Variant 1,4,39.6,6,1.75,44,2.11,High,Medium,Food,5,Yes
Kraft Paper Variant 2,7,16.25,2,5.13,74,0.55,Medium,Low,Electronics,4,No
Wooden Crate Variant 3,10,15.41,4,0.53,61,0.97,Low,Medium,General,3,Yes
Kraft Paper Variant 4,6,10.02,5,3.01,62,2.01,High,Low,Cosmetics,5,No
Recycled Paper Variant 5,9,19.63,7,4.23,73,1.14,High,Medium,General,3,No
Bagasse Fiber Variant 6,6,46.7,6,3.24,47,1.7,Low,Low,Food,5,No
Biodegradable Plastic (PLA) Variant 7,6,41.3,1,1.11,56,0.73,Medium,High,Cosmetics,2,Yes
Bagasse Fiber Variant 8,10,13.16,4,4.15,82,1.3,Medium,Medium,Electronics,1,Yes
Molded Pulp Variant 9,10,39.99,3,1.98,98,0.37,High,High,Food,2,No
Steel Variant 10,9,29.34,5,4.58,59,1.9,High,Medium,Electronics,2,No
Steel Variant 11,4,26.9,1,2.95,71,1.57,Low,Medium,Cosmetics,5,Yes
Steel Variant 12,6,22.0,1,1.58,41,1.11,Low,Low,Food,2,No
Wooden Crate Variant 13,6,40.91,3,4.41,99,1.26,Medium,Low,Cosmetics,4,Yes
Steel Variant 14,5,8.2,3,5.65,51,2.22,Low,Low,Electronics,3,Yes
Glass Variant 15,10,45.61,1,5.37,52,2.25,Low,High,Food,4,Yes
Corrugated Cardboard Variant 16,6,32.58,2,3.42,43,1.79,High,High,General,2,Yes
Recycled PET Variant 17,4,49.84,10,3.48,49,1.82,High,Low,General,1,Yes
Corrugated Cardboard Variant 18,4,21.71,8,3.04,62,2.45,High,Low,Cosmetics,1,No
Corrugated Cardboard Variant 19,9,37.28,8,0.38,63,0.53,High,High,General,4,No
Aluminum Variant 20,5,22.55,2,3.17,74,0.62,High,Medium,Food,1,Yes
Bagasse Fiber Variant 21,9,23.83,8,0.93,85,1.91,High,High,General,4,Yes
Recycled PET Variant 22,8,39.56,10,2.48,73,1.99,Low,Low,Food,4,Yes
Kraft Paper Variant 23,9,12.88,6,4.0,43,2.04,High,Low,Cosmetics,5,No
Glass Variant 24,10,5.86,3,2.92,88,2.09,High,High,General,2,No
Bamboo Fiber Variant 25,7,3.31,4,4.69,74,0.46,Medium,Medium,Cosmetics,5,No
Aluminum Variant 26,10,32.7,3,4.0,96,1.97,High,Low,General,1,No
Bagasse Fiber Variant 27,7,35.36,3,2.26,100,0.99,Low,Medium,General,5,No
Recycled Paper Variant 28,8,4.57,4,4.3,90,2.17,Low,High,Electronics,4,Yes
Kraft Paper Variant 29,10,4.33,9,5.46,94,0.21,Low,Medium,Cosmetics,3,Yes
Aluminum Variant 30,6,46.54,8,5.09,62,1.87,Low,Low,Cosmetics,2,No
Molded Pulp Variant 31,8,36.81,10,1.76,68,1.03,Low,Low,Electronics,3,No
Recycled PET Variant 32,10,15.72,4,5.34,52,1.3,High,Low,Cosmetics,2,Yes
Bamboo Fiber Variant 33,5,16.82,3,1.77,40,0.72,Medium,High,General,2,No
Mushroom Packaging Variant 34,8,8.75,9,3.83,84,1.45,Medium,Low,Food,3,No
Biodegradable Plastic (PLA) Variant 35,7,11.88,6,3.84,40,0.71,Medium,Medium,General,5,No
Bamboo Fiber Variant 36,9,11.24,1,0.42,82,0.31,Medium,Low,Food,1,No
Bamboo Fiber Variant 37,6,4.17,8,2.92,90,0.78,Low,Medium,Food,2,No
Bagasse Fiber Variant 38,7,37.19,5,4.45,60,2.25,Medium,Medium,Electronics,5,Yes
Bagasse Fiber Variant 39,9,17.82,9,2.69,94,0.75,High,High,Electronics,5,Yes
Kraft Paper Variant 40,6,41.32,5,1.72,40,1.52,Medium,High,Food,1,No
Kraft Paper Variant 41,8,26.96,3,4.43,57,0.31,High,High,Electronics,1,No
Bamboo Fiber Variant 42,5,7.48,7,4.26,89,2.19,High,High,General,3,Yes
Mushroom Packaging Variant 43,9,17.24,5,3.67,93,1.07,Low,Medium,Electronics,2,No
Bagasse Fiber Variant 44,5,29.96,6,3.39,83,0.81,Medium,Medium,Electronics,1,No
Wooden Crate Variant 45,9,24.53,10,1.97,98,1.15,High,High,Food,3,No
Recycled Paper Variant 46,4,17.73,2,2.03,62,0.9,Low,Medium,Cosmetics,3,No
Recycled PET Variant 47,10,1.96,4,1.21,84,1.35,Low,Low,Food,1,Yes
Steel Variant 48,4,41.36,8,3.9,84,1.57,Low,High,Electronics,4,Yes
Corrugated Cardboard Variant 49,9,44.14,2,1.54,90,0.95,High,Medium,Electronics,1,Yes
Cornstarch Packaging Variant 50,4,43.26,3,2.0,74,0.44,Medium,Medium,Food,1,No
Bagasse Fiber Variant 51,5,24.31,7,5.95,86,2.27,High,Low,Cosmetics,2,No
Molded Pulp Variant 52,10,29.62,10,1.77,86,1.28,Low,Medium,Food,5,No
Cornstarch Packaging Variant 53,7,38.22,1,2.89,47,2.4,High,Medium,Cosmetics,5,Yes
Glass Variant 54,8,34.2,6,4.47,58,1.23,High,Medium,Electronics,5,No
Molded Pulp Variant 55,5,24.37,4,5.44,63,0.38,High,High,Food,2,Yes
Steel Variant 56,5,9.11,1,3.72,93,2.49,Low,Low,Cosmetics,3,Yes
Corrugated Cardboard Variant 57,5,37.63,8,3.17,61,0.49,Low,Low,Cosmetics,3,Yes
Mushroom Packaging Variant 58,10,46.99,6,0.36,46,0.83,Low,High,Cosmetics,2,No
Cornstarch Packaging Variant 59,9,40.73,8,4.96,80,2.42,High,High,Food,2,No
Bamboo Fiber Variant 60,10,42.89,3,2.35,90,0.57,Low,Medium,Cosmetics,2,Yes
Recycled Paper Variant 61,5,15.27,10,5.0,48,1.03,High,Medium,General,1,Yes
Cornstarch Packaging Variant 62,5,20.25,8,4.74,41,0.33,Medium,High,General,4,Yes
Biodegradable Plastic (PLA) Variant 63,4,19.77,7,2.42,58,0.88,Medium,Low,Cosmetics,2,Yes
Aluminum Variant 64,9,30.69,7,4.71,68,0.98,Medium,High,Cosmetics,2,No
Kraft Paper Variant 65,9,35.73,6,0.34,70,0.66,High,High,General,1,Yes
Mushroom Packaging Variant 66,5,10.83,1,3.75,69,1.45,Low,Medium,General,4,Yes
Bagasse Fiber Variant 67,9,41.22,4,3.5,55,1.89,Medium,High,Electronics,3,No
Biodegradable Plastic (PLA) Variant 68,9,43.53,1,2.15,51,0.68,High,High,Cosmetics,3,No
Biodegradable Plastic (PLA) Variant 69,10,18.21,9,1.44,40,2.12,Low,Low,Electronics,4,Yes
Mushroom Packaging Variant 70,7,9.8,1,0.48,54,2.05,Medium,Medium,Electronics,2,No
Kraft Paper Variant 71,4,17.18,4,0.34,46,1.86,Low,Low,Electronics,3,Yes
Cornstarch Packaging Variant 72,10,3.66,7,0.8,97,0.39,High,Medium,Cosmetics,3,No
Wooden Crate Variant 73,7,29.7,1,5.94,53,1.14,Medium,Low,Food,3,No
Bagasse Fiber Variant 74,10,29.53,4,4.72,86,1.13,Low,Low,Cosmetics,2,Yes
Kraft Paper Variant 75,6,43.23,1,0.72,46,0.71,Low,High,General,4,No
Cornstarch Packaging Variant 76,4,42.23,6,1.54,71,1.49,Low,Low,Cosmetics,1,Yes
Cornstarch Packaging Variant 77,7,22.05,2,1.13,89,0.49,High,High,General,4,Yes
Bagasse Fiber Variant 78,9,41.95,5,4.88,98,0.49,Low,Medium,Electronics,4,No
Glass Variant 79,8,19.39,3,5.4,87,0.93,High,Low,General,4,Yes
Biodegradable Plastic (PLA) Variant 80,10,29.69,10,5.17,55,1.73,High,Low,Food,5,No
Corrugated Cardboard Variant 81,7,30.72,1,0.23,84,1.31,Medium,Medium,General,4,Yes
Palm Leaf Variant 82,8,1.35,10,5.41,96,0.59,Low,High,Cosmetics,2,No
Cornstarch Packaging Variant 83,4,28.09,7,2.57,74,1.97,High,Medium,General,2,No
Recycled Paper Variant 84,8,23.65,3,3.92,91,0.33,High,Medium,Food,2,Yes
Palm Leaf Variant 85,5,15.07,6,1.45,44,0.22,High,Medium,Cosmetics,2,Yes
Molded Pulp Variant 86,5,2.67,6,0.91,76,2.21,High,High,Cosmetics,1,Yes
Molded Pulp Variant 87,5,11.59,6,3.34,93,1.95,Low,Medium,Food,4,No
Glass Variant 88,9,42.41,8,5.95,77,0.35,Medium,Medium,Electronics,2,No
Molded Pulp Variant 89,10,32.6,8,1.59,46,0.91,Low,Medium,Cosmetics,3,No
Corrugated Cardboard Variant 90,9,15.15,7,1.62,75,2.44,Medium,Medium,General,5,Yes
Bamboo Fiber Variant 91,9,14.71,2,5.0,57,0.51,High,Medium,General,4,Yes
Wooden Crate Variant 92,6,7.93,1,1.53,78,0.39,Medium,High,Cosmetics,5,No
Biodegradable Plastic (PLA) Variant 93,6,37.85,10,2.03,96,1.97,Low,High,Cosmetics,3,No
Recycled Paper Variant 94,7,45.64,8,3.85,78,0.59,Medium,High,Electronics,2,No
Mushroom Packaging Variant 95,8,16.6,5,4.44,40,1.02,Low,Medium,Cosmetics,3,No
Recycled PET Variant 96,5,49.83,2,2.36,98,1.29,High,High,Food,2,No
Corrugated Cardboard Variant 97,10,45.08,5,2.12,56,0.94,Low,High,Food,2,No
Palm Leaf Variant 98,4,17.58,1,2.0,70,0.36,Low,Low,Cosmetics,5,No
Kraft Paper Variant 99,4,6.38,2,5.77,55,0.87,Low,Medium,Food,4,No
Aluminum Variant 100,6,33.31,9,1.2,51,1.53,High,Low,Electronics,5,No
Wooden Crate Variant 101,9,44.21,1,1.3,58,0.32,Medium,Low,Food,4,No
Kraft Paper Variant 102,10,38.06,7,0.56,87,0.4,Medium,Low,Food,1,No
Kraft Paper Variant 103,9,12.07,3,2.08,94,0.23,Medium,High,Cosmetics,3,No
Palm Leaf Variant 104,4,7.1,3,4.53,83,2.33,Low,Medium,Cosmetics,1,No
Recycled PET Variant 105,6,44.58,9,0.92,42,0.95,High,Low,Cosmetics,4,Yes
Palm Leaf Variant 106,5,22.22,1,0.44,77,0.4,Medium,Low,Electronics,5,Yes
Bagasse Fiber Variant 107,7,41.07,7,4.5,53,0.21,Low,High,General,2,Yes
Glass Variant 108,5,13.25,6,1.56,66,1.99,High,Medium,Food,3,No
Steel Variant 109,10,11.16,2,4.02,49,0.79,Low,Medium,General,4,No
Mushroom Packaging Variant 110,10,40.85,3,4.85,90,1.12,High,Medium,Cosmetics,4,No
Molded Pulp Variant 111,9,18.37,4,2.46,43,1.5,Low,High,General,4,Yes
Recycled Paper Variant 112,4,19.87,2,2.68,46,1.51,Low,High,General,1,No
Kraft Paper Variant 113,4,13.29,6,4.95,91,1.16,High,Medium,Cosmetics,3,Yes
