product_id,product_name,product_category,product_weight_kg,fragility_level,required_strength_score,preferred_biodegradability_score,max_packaging_cost_inr,temperature_sensitive
P001,Smartphone,Electronics,0.22,High,7,7,100,No
P002,Laptop,Electronics,2.1,High,8,7,260,No
P003,Tablet,Electronics,0.55,High,7,7,160,No
P004,Smartwatch,Electronics,0.18,Medium,6,7,90,No
P005,Bluetooth Earbuds,Electronics,0.12,Medium,6,7,75,No
P006,LED Television,Electronics,9.5,High,9,6,420,No
P007,Computer Monitor,Electronics,4.8,High,8,6,320,No
P008,Desktop CPU,Electronics,6.5,Medium,8,6,290,No
P009,Router,Electronics,0.85,Medium,6,7,120,No
P010,External Hard Drive,Electronics,0.28,High,6,7,110,No
P011,Gaming Console,Electronics,4.2,High,8,6,340,No
P012,VR Headset,Electronics,0.95,High,7,6,190,No
P013,Printer,Electronics,7.8,Medium,8,6,360,No
P014,Scanner,Electronics,5.3,Medium,7,6,310,No
P015,Digital Camera,Electronics,0.92,High,7,6,210,No
P016,Power Bank,Electronics,0.48,Medium,6,7,105,No
P017,Smart Speaker,Electronics,1.6,Medium,6,7,160,No
P018,Set-top Box,Electronics,1.3,Medium,6,7,140,No
P019,Wi-Fi Extender,Electronics,0.65,Medium,6,7,120,No
P020,CCTV Camera,Electronics,0.78,High,7,6,170,No
P021,Projector,Electronics,3.9,High,8,6,380,No
P022,Graphics Card,Electronics,1.5,High,8,6,310,No
P023,Motherboard,Electronics,0.95,High,7,6,230,No
P024,CPU Processor,Electronics,0.18,High,7,6,210,No
P025,RAM Module,Electronics,0.06,Medium,5,7,95,No
P026,Keyboard,Electronics,0.85,Low,4,8,90,No
P027,Mouse,Electronics,0.12,Low,4,8,70,No
P028,Webcam,Electronics,0.42,Medium,5,7,115,No
P029,UPS Battery,Electronics,11.5,Medium,9,5,480,No
P030,Smart Home Hub,Electronics,1.2,Medium,6,7,170,No
P031,Security Alarm Panel,Electronics,2.7,High,8,6,300,No
P032,Fitness Band,Electronics,0.14,Medium,5,8,80,No
P033,Portable SSD,Electronics,0.11,High,6,7,130,No
P034,Server Rack Unit,Electronics,14,High,9,5,650,No
P035,Network Switch,Electronics,3.8,Medium,7,6,260,No
P036,Barcode Scanner,Electronics,0.45,Medium,6,7,140,No
P037,POS Machine,Electronics,2.3,Medium,7,6,240,No
P038,Thermal Printer,Electronics,4.2,Medium,7,6,280,No
P039,Smart Plug,Electronics,0.2,Low,4,8,65,No
P040,Smart Bulb,Electronics,0.25,Low,4,8,70,No
P041,Video Doorbell,Electronics,0.6,Medium,6,7,150,No
P042,Smart Thermostat,Electronics,0.75,Medium,6,7,165,No
P043,Solar Inverter,Electronics,12.5,Medium,9,5,520,No
P044,EV Charger Unit,Electronics,10.8,Medium,9,5,600,No
P045,Smart Glasses,Electronics,0.35,High,7,6,190,No
P046,AR Headset,Electronics,0.9,High,8,6,420,No
P047,Medical Monitor Device,Electronics,2.2,High,8,6,330,No
P048,Fresh Vegetables,Food,2,Medium,5,9,80,Yes
P049,Fresh Fruits,Food,1.8,Medium,5,9,85,Yes
P050,Frozen Food Pack,Food,1.2,Medium,6,8,150,Yes
P051,Ice Cream Tub,Food,0.9,Medium,6,8,140,Yes
P052,Bakery Items,Food,0.7,High,5,9,65,No
P053,Ready-to-eat Meals,Food,1.4,Medium,6,8,100,Yes
