material_type,product_category,strength,weight_capacity,cost_per_unit,biodegradability_score,co2_emission_score,recyclability_percentage,fragility_level,shipping_type,co2_impact_index,cost_efficiency_index,material_suitability_score
paper,electronics,34.0,8.4,0.12,0.88,0.85,78.7,3.0,air,0.01029230135858378,0.5900768957183821,0.359352347452241
jute,home,44.0,8.5,0.28,0.87,1.04,69.9,1.0,ground,0.018114450391107456,0.19020307929541866,0.37150317075568406
bagasse,electronics,39.0,5.3,0.24,0.94,0.85,85.7,3.0,air,0.01029230135858378,0.1831697864353478,0.3567991335064439
plastic,electronics,72.0,11.4,0.23,0.11,9.41,34.8,3.0,air,0.3627006998764924,0.6124461764536853,0.27732790744792407
glass,electronics,70.0,12.6,0.54,0.02,20.04,87.7,3.0,air,0.8003293536434746,0.10692373206921743,0.3092887412137229
bamboo,electronics,40.0,6.3,0.29,0.86,0.85,82.9,3.0,air,0.01029230135858378,0.12306022955577077,0.34921477174944787
jute,cosmetics,42.0,5.9,0.15,0.89,1.47,67.6,2.0,ground,0.03581720872787155,0.5080935582075351,0.3347219201533603
bamboo,pharmaceuticals,58.0,10.2,0.29,0.83,0.79,77.7,2.0,ground,0.007822149032523675,0.30515677800041036,0.46371107353568825
glass,pharmaceuticals,66.0,9.0,0.51,0.02,14.1,85.8,2.0,ground,0.5557842733635241,0.09268687666786715,0.26599434343334927
plastic,food,48.0,8.9,0.23,0.22,10.38,36.4,1.0,ground,0.4026348291477975,0.33461994735676814,0.1604995879467566
paper,home,52.0,10.2,0.18,0.87,1.53,82.6,1.0,ground,0.038287361053931664,0.5713245584378357,0.46076198495207976
plastic,electronics,46.0,7.8,0.39,0.11,1.48,78.7,3.0,air,0.036228900782214905,0.07071922564059788,0.22697155126877738
bamboo,home,56.0,9.7,0.3,0.89,0.75,80.6,1.0,ground,0.006175380815150269,0.2661599066348858,0.4656633220343834
paper,electronics,52.0,8.4,0.26,0.87,1.32,75.4,3.0,air,0.02964182791272129,0.29824878300005386,0.41658469616553523
bagasse,pharmaceuticals,37.0,5.7,0.14,0.95,1.19,87.7,2.0,ground,0.024289831206257717,0.4735310063053573,0.36558295405051855
jute,cosmetics,53.0,7.3,0.26,0.85,1.44,71.6,2.0,ground,0.0345821325648415,0.29732135100079343,0.3937439565927445
glass,cosmetics,82.0,12.3,0.43,0.02,13.62,89.3,2.0,ground,0.5360230547550432,0.26688944460363573,0.3952241686828113
metal,home,86.0,15.4,0.5,0.0,23.67,97.3,1.0,ground,0.9497735693701111,0.22709710281439718,0.42046877112100944
bamboo,pharmaceuticals,57.0,9.6,0.22,0.83,0.88,67.2,2.0,ground,0.011527377521613834,0.4680526403961205,0.43439705993062866
plastic,food,55.0,9.5,0.32,0.12,7.06,27.6,1.0,ground,0.26595306710580485,0.2241125380621675,0.1679611396770679
plastic,food,56.0,10.9,0.39,0.15,9.29,49.3,1.0,ground,0.35776039522437214,0.1517150574164151,0.2276116315090957
plastic,pharmaceuticals,48.0,8.2,0.36,0.11,9.19,51.4,2.0,ground,0.35364347468093865,0.1145146013189077,0.15528703381116463
bamboo,pharmaceuticals,62.0,10.9,0.28,0.77,1.37,81.2,2.0,ground,0.03170028818443805,0.3658852462766024,0.48412085600696786
bamboo,cosmetics,47.0,6.3,0.21,0.81,1.36,71.4,2.0,ground,0.031288596130094694,0.35009608764929323,0.349737222877114
jute,home,57.0,7.7,0.28,0.92,1.46,62.1,1.0,ground,0.0354055166735282,0.2952679046469109,0.4094135638756374
plastic,food,75.0,14.7,0.36,0.1,12.23,40.3,1.0,ground,0.47879785920131746,0.338901860869017,0.32312985842391156
paper,home,48.0,6.5,0.2,0.91,1.46,82.9,1.0,ground,0.0354055166735282,0.39516466875089495,0.40080640867513184
bamboo,cosmetics,59.0,8.3,0.25,0.77,0.73,74.1,2.0,ground,0.005351996706463566,0.38720796050363143,0.4261538332325809
paper,home,49.0,9.8,0.13,0.97,1.5,92.2,1.0,ground,0.03705228489090161,0.8287356917629857,0.48589329927056296
bagasse,cosmetics,36.0,5.7,0.21,0.93,0.82,79.1,2.0,ground,0.009057225195553725,0.21689930915869085,0.33589154952132283
paper,pharmaceuticals,47.0,6.9,0.12,0.89,1.07,78.7,2.0,ground,0.01934952655413751,0.8211609986222353,0.3966980937928501
glass,home,80.0,14.1,0.48,0.03,21.91,85.3,1.0,ground,0.8773157678056813,0.2108005073882508,0.3668053406981651
bamboo,pharmaceuticals,56.0,7.6,0.31,0.84,1.48,78.2,2.0,ground,0.036228900782214905,0.23279034104021135,0.41859924259659664
jute,cosmetics,35.0,5.9,0.21,0.99,0.92,71.9,2.0,ground,0.013174145738987241,0.207713324435201,0.33099956924756085
jute,food,46.0,6.7,0.29,0.85,1.44,76.9,1.0,ground,0.0345821325648415,0.17627565923822253,0.36391551319332927
bagasse,food,45.0,7.3,0.21,0.92,0.86,87.6,1.0,ground,0.010703993412927132,0.3386136067449309,0.4119926653675521
metal,pharmaceuticals,75.0,11.6,0.76,0.0,17.39,90.1,2.0,ground,0.6912309592424866,0.012844483532245165,0.3131927819319106
glass,electronics,66.0,10.2,0.48,0.03,15.91,86.4,3.0,air,0.6303005351996707,0.12087808794348721,0.28020107955515583
bamboo,electronics,63.0,10.4,0.31,0.76,1.1,83.4,3.0,air,0.020584602717167565,0.309019315235425,0.4831505785639206
bamboo,cosmetics,45.0,7.8,0.33,0.81,1.06,80.9,2.0,ground,0.018937834499794158,0.12389188190294816,0.3732975635489124
plastic,cosmetics,60.0,8.1,0.22,0.13,8.31,54.2,2.0,ground,0.3174145738987238,0.4844934688859704,0.2297958339978026
bagasse,electronics,42.0,6.9,0.13,0.96,1.08,83.9,3.0,air,0.01976121860848086,0.6451048621791354,0.3988967857492718
plastic,home,79.0,15.5,0.33,0.19,9.84,50.4,1.0,ground,0.3804034582132565,0.4285956982518507,0.4021877355947353
paper,pharmaceuticals,45.0,8.7,0.13,0.92,1.23,90.2,2.0,ground,0.025936599423631124,0.7341379916743356,0.44062781948371993
bamboo,electronics,58.0,9.3,0.2,0.8,1.37,78.7,3.0,air,0.03170028818443805,0.5494891753617688,0.4518391840775978
glass,electronics,69.0,9.4,0.58,0.01,9.69,86.2,3.0,air,0.3742280773981062,0.06402492422411955,0.29627596369681247
bagasse,home,38.0,6.7,0.16,0.91,0.6,77.5,1.0,ground,0.0,0.41174165453644657,0.3553862050198368
bamboo,food,41.0,7.4,0.22,0.85,0.82,78.7,1.0,ground,0.009057225195553725,0.26857058805260814,0.3630441829872555
metal,electronics,96.0,12.9,0.74,0.0,18.85,89.2,3.0,air,0.7513379991766159,0.0929362762408523,0.4156701859630506
bamboo,home,61.0,10.0,0.28,0.77,0.93,67.8,1.0,ground,0.013585837793330592,0.34952269150874704,0.4418124226870698
bagasse,home,42.0,7.0,0.24,0.96,0.99,88.8,1.0,ground,0.016055990119390698,0.23039151726257692,0.40262657850156836
glass,pharmaceuticals,90.0,16.3,0.57,0.02,15.19,87.4,2.0,ground,0.6006587072869494,0.18777142057701915,0.4633883133674329
glass,food,93.0,14.6,0.59,0.02,21.26,94.8,1.0,ground,0.8505557842733635,0.17784076098747836,0.44224577546864674
metal,electronics,77.0,12.7,0.26,0.0,24.89,96.4,3.0,air,1.0,0.5699863587833455,0.3556218700080593
jute,cosmetics,47.0,9.1,0.18,0.97,1.35,77.7,2.0,ground,0.030876904075751343,0.48960763418951714,0.43480288150409657
metal,electronics,88.0,13.1,0.44,0.0,17.9,95.7,3.0,air,0.7122272540139974,0.2921370347698648,0.4229530351586318
glass,cosmetics,81.0,12.4,0.38,0.03,20.82,90.7,2.0,ground,0.832441333882256,0.33075843503441177,0.3711469520073354
bamboo,electronics,53.0,7.5,0.21,0.81,1.23,83.7,3.0,air,0.025936599423631124,0.43276995016070163,0.4179190018791223
bagasse,home,43.0,6.5,0.16,0.99,1.14,78.0,1.0,ground,0.022231370934540962,0.48408117658634314,0.3892297154386823
plastic,cosmetics,53.0,8.1,0.26,0.21,15.38,37.0,2.0,ground,0.6084808563194731,0.30474080699487655,0.14787368623688338
plastic,home,57.0,8.1,0.26,0.07,6.67,48.5,1.0,ground,0.2498970769864142,0.3418380869652917,0.19681842346307032
plastic,cosmetics,65.0,11.6,0.39,0.84,17.02,27.6,2.0,ground,0.6759983532317826,0.21168907025805067,0.3376661914888844
jute,food,54.0,8.7,0.21,0.89,1.41,67.3,1.0,ground,0.033347056401811445,0.4580314081502987,0.4199507896932682
plastic,pharmaceuticals,71.0,13.1,0.29,0.13,15.61,46.6,2.0,ground,0.6179497735693701,0.4373638611177514,0.29432956907195723
glass,food,73.0,10.3,0.36,0.02,12.28,88.5,1.0,ground,0.4808563194730342,0.29603384710422,0.3380820875765543
metal,food,91.0,17.9,0.56,0.0,17.88,96.3,1.0,ground,0.7114038699053108,0.20699706495896578,0.49335645101973413
paper,home,40.0,7.8,0.15,0.91,1.18,93.8,1.0,ground,0.023878139151914366,0.5064860139428989,0.4108793670962351
glass,cosmetics,69.0,11.8,0.46,0.0,18.78,88.6,2.0,ground,0.7484561547962124,0.16163472547897115,0.30305417274625385
plastic,cosmetics,59.0,7.9,0.22,0.24,10.98,39.9,2.0,ground,0.42733635240839857,0.47134080609409057,0.20428884164289018
jute,cosmetics,43.0,6.1,0.28,0.96,1.04,68.3,2.0,ground,0.018114450391107456,0.160922718131888,0.3494262089395918
paper,cosmetics,49.0,7.4,0.18,0.99,0.83,84.3,2.0,ground,0.009468917249897077,0.49362649931648345,0.4402652604865232
bagasse,food,48.0,7.4,0.23,0.9,0.94,84.5,1.0,ground,0.01399752984767394,0.31889393438901814,0.41420019046364154
bagasse,food,39.0,8.4,0.22,0.96,0.67,75.5,1.0,ground,0.002881844380403461,0.2576100357260415,0.3838861758149644
metal,home,93.0,16.3,0.46,0.0,21.44,97.7,1.0,ground,0.8579662412515439,0.3110321734482452,0.47601180099848805
paper,pharmaceuticals,39.0,6.9,0.13,0.96,1.44,75.5,2.0,ground,0.0345821325648415,0.5894591562446353,0.36706352378507384
jute,electronics,48.0,7.8,0.24,0.89,1.32,76.0,3.0,air,0.02964182791272129,0.2987123193104828,0.3977921356811588
bagasse,home,49.0,9.3,0.23,0.96,0.86,76.3,1.0,ground,0.010703993412927132,0.34929755946000146,0.43965744147414393
bamboo,cosmetics,45.0,7.5,0.29,0.78,0.8,68.2,2.0,ground,0.008233841086867026,0.1746126770606459,0.34108750288915685
