material_id,material_name,material_type,strength_score,weight_capacity_score,biodegradability_score,co2_emission_score,recyclability_percent
1,Recycled Cardboard / Paperboard,Fiber-based (cellulosic),3.0,3,85.0,70.0,75
2,Molded Pulp (Recycled Paper Fiber),Fiber-based (cellulosic),3.0,3,85.0,70.0,70
3,"Kraft Paper Wraps, Paper Padding",Fiber-based,2.0,2,90.0,70.0,70
4,Starch-Based Foams/Peanuts,Bio-based polymer (starch),2.0,3,95.0,85.0,30
5,Mycelium-Based Molded Packaging,Bio-based composite,3.0,3,95.0,90.0,20
6,"Bagasse, Wheat-Straw, Other Agri Fibers",Fiber-based from agro-residues,3.0,3,90.0,85.0,60
7,"Pla Bioplastic (Films, Rigid)",Bio-based polyester,3.0,4,70.0,60.0,30
8,"Other Compostable Bioplastics (Pha, Pbs)",Bio-based polyesters,3.0,3,85.0,75.0,25
9,Cellulose / Seaweed Bio-Films,Bio-based polymer films,2.0,2,95.0,90.0,25
10,"Pcr Pet (Bottles, Trays)",Recycled fossil plastic,4.0,4,0.0,55.0,60
11,Pcr Hdpe/Ldpe,Recycled fossil plastic,4.0,4,0.0,55.0,55
12,"Glass (Bottles, Jars, Vials)",Inorganic (silicate),4.0,3,0.0,50.0,80
13,Aluminium Cans / Tins,Metal (aluminium),5.0,5,0.0,55.0,85
14,"Bamboo (Components, Shells)",Lignocellulosic (wood-like),4.0,4,90.0,90.0,50
15,"Cork, Wood, Wood-Composites",Lignocellulosic,4.0,4,90.0,85.0,60
16,Cotton/Jute Textile Bags,Natural fiber,3.0,3,90.0,60.0,40
17,Hemp Fiber Molded Packaging,Natural fiber,4.0,4,92.0,88.0,55
18,Sugarcane Bagasse Sheets,Agro-waste fiber,3.0,3,88.0,82.0,65
19,Rice Husk Composites,Agro-waste composite,3.0,3,85.0,85.0,50
20,Chitin/Chitosan Films (Mushroom/Shell),Bio-based polysaccharide,2.0,2,90.0,88.0,30
21,Recycled Steel Tins,Metal (steel),5.0,5,0.0,60.0,90
22,Pcr Pp (Polypropylene) Trays,Recycled fossil plastic,4.0,4,0.0,58.0,50
23,Beeswax-Coated Paper,Bio-based coated fiber,2.0,2,85.0,80.0,45
24,Seaweed-Based Rigid Trays,Bio-based polysaccharide,3.0,3,95.0,92.0,25
25,Newspaper Honeycomb Inserts,Recycled fiber composite,3.0,4,88.0,75.0,70
26,Algae-Based Plastics,Bio-based (algae),3.0,3,95.0,95.0,20
27,Cellophane Films,Regenerated cellulose,2.0,2,95.0,85.0,40
28,Cornstarch-Based Bioplastic Trays,Bio-based starch,3.0,3,90.0,70.0,25
29,Coconut Coir Padding,Natural fiber (coir),3.0,3,92.0,88.0,50
30,Palm Leaf Trays,Lignocellulosic (palm),3.0,2,95.0,90.0,30
31,Banana Fiber Composites,Agro-waste fiber,3.0,3,90.0,85.0,45
32,Cassava Starch Foams,Bio-based starch,2.0,3,95.0,82.0,20
33,Beet Pulp Molded Pulp,Agro-waste fiber,3.0,3,88.0,80.0,55
34,Carrot Pulp Trays,Agro-waste composite,2.0,2,90.0,85.0,40
35,Tapioca-Based Films,Bio-based starch,2.0,2,95.0,78.0,25
36,Corn Cob Fillers,Agro-waste particle,2.0,3,92.0,88.0,60
37,Peanut Shell Composites,Agro-waste composite,3.0,3,85.0,85.0,50
38,Sorghum Stalk Padding,Lignocellulosic,2.0,2,90.0,87.0,55
39,Flax Fiber Bags,Natural fiber,4.0,4,92.0,90.0,60
40,Sisal Fiber Wraps,Natural fiber,3.0,3,90.0,85.0,50
41,Abaca (Manila Hemp) Sheets,Natural fiber,4.0,4,88.0,82.0,55
42,Kapok Fiber Cushions,Natural fiber,2.0,3,95.0,92.0,30
43,Pineapple Leaf Fibers (Piña),Agro-waste fiber,3.0,3,90.0,88.0,45
44,Coffee Husk Composites,Agro-waste composite,3.0,3,85.0,85.0,50
45,Olive Stone Fillers,Agro-waste particle,3.0,4,88.0,82.0,55
46,Date Palm Composites,Lignocellulosic,4.0,4,90.0,87.0,60
47,Avocado Seed Bioplastics,Bio-based composite,2.0,2,92.0,90.0,25
48,Mushroom Root (Mycelium Variants),Bio-based composite,3.0,3,95.0,92.0,20
49,Agar-Agar Films (Seaweed Binder),Bio-based polysaccharide,2.0,2,95.0,93.0,25
50,Wheat Bran Sheets,Agro-waste fiber,2.0,2,90.0,80.0,65
51,Barley Straw Pulp,Fiber-based (cellulosic),3.0,3,88.0,78.0,70
52,Maize Cob Composites,Agro-waste composite,3.0,3,90.0,85.0,55
53,Potato Starch Foams,Bio-based starch,2.0,3,95.0,80.0,25
54,Sugarcane Pulp Trays,Agro-waste fiber,3.0,3,88.0,82.0,65
55,Apple Pomace Films,Agro-waste composite,2.0,2,92.0,88.0,40
56,Bamboo Leaf Sheets,Lignocellulosic,3.0,3,90.0,90.0,50
57,Reed Fiber Padding,Natural fiber,3.0,3,88.0,85.0,60
58,Esparto Grass Composites,Lignocellulosic,3.0,3,85.0,82.0,55
59,Typha (Cattail) Fiber,Natural fiber,2.0,2,92.0,88.0,45
60,Kenaf Fiber Molded,Natural fiber,4.0,4,90.0,87.0,60
61,Ramie Fiber Bags,Natural fiber,4.0,4,88.0,85.0,55
62,Coir Pith Blocks,Natural fiber (coir),3.0,4,95.0,90.0,50
63,Areca Palm Leaf Plates,Lignocellulosic,3.0,2,95.0,92.0,30
64,Sal Leaf Plates,Lignocellulosic,3.0,2,95.0,90.0,35
65,Sago Palm Starch Films,Bio-based starch,2.0,2,95.0,80.0,25
