material_id,eco_alternative,category,weight_capacity_upto
MAT003,Biodegradable Plastic,Mobile Devices,2
MAT003,Biodegradable Plastic,Chargers,2
MAT006,Mushroom Packaging,Fragile Electronics,3
MAT006,Mushroom Packaging,Glass Devices,3
MAT011,Recycled PET,Appliances,8
MAT011,Recycled PET,Heavy Electronics,8
MAT018,Bio-Composite,Large Electronics,10
MAT018,Bio-Composite,Industrial Electronics,12
MAT026,Paper Honeycomb,Laptops,10
MAT026,Paper Honeycomb,Monitors,10
MAT028,Bio-Foam Sheet,Glass Items,5
MAT028,Bio-Foam Sheet,Screens,5
MAT031,Agro Waste Composite,Industrial Components,12
MAT031,Agro Waste Composite,Machinery Parts,15
MAT033,Recycled Paper Foam,Delicate Sensors,3
