Material Name,Product Category,Strength Rating,Weight Capacity (kg),Unit Cost ($),Biodegradability Score,CO2 Emission (kg),Recyclability (%),Fragility Level,Shipping Mode
paper,electronics,34.0,,0.12,0.88,0.85,,3.0,Air
jute,home,44.0,8.5,0.28,0.87,1.04,69.9,1.0,Ground
bagasse,electronics,39.0,5.3,0.24,0.94,0.85,85.7,3.0,Air
plastic,electronics,72.0,11.4,0.23,0.11,9.41,34.8,3.0,Air
glass,electronics,70.0,12.6,0.54,0.02,20.04,87.7,3.0,Air
bamboo,electronics,40.0,6.3,0.29,0.86,0.85,82.9,3.0,Air
jute,cosmetics,42.0,5.9,0.15,0.89,1.47,67.6,2.0,Ground
bamboo,pharmaceuticals,58.0,10.2,0.29,0.83,0.79,77.7,2.0,Ground
glass,pharmaceuticals,66.0,9.0,0.51,0.02,14.1,85.8,2.0,Ground
plastic,food,48.0,8.9,0.23,0.22,10.38,36.4,1.0,Ground
paper,home,52.0,10.2,0.18,0.87,1.53,82.6,1.0,Ground
plastic,electronics,46.0,7.8,0.39,0.11,,,3.0,Air
bamboo,home,56.0,9.7,0.3,0.89,0.75,80.6,1.0,Ground
paper,electronics,,,,0.87,1.32,75.4,3.0,Air
bagasse,pharmaceuticals,37.0,5.7,0.14,0.95,1.19,87.7,2.0,Ground
jute,cosmetics,53.0,7.3,0.26,0.85,1.44,71.6,2.0,Ground
glass,cosmetics,82.0,12.3,0.43,0.02,13.62,89.3,2.0,
metal,home,86.0,15.4,0.5,0.0,23.67,97.3,1.0,Ground
bamboo,pharmaceuticals,57.0,9.6,0.22,0.83,0.88,67.2,2.0,Ground
plastic,food,55.0,9.5,0.32,0.12,7.06,27.6,1.0,Ground
plastic,food,56.0,10.9,0.39,0.15,9.29,49.3,1.0,Ground
plastic,pharmaceuticals,48.0,8.2,0.36,0.11,9.19,51.4,2.0,Ground
bamboo,pharmaceuticals,62.0,10.9,0.28,0.77,1.37,81.2,2.0,Ground
bamboo,cosmetics,47.0,6.3,0.21,0.81,1.36,71.4,2.0,Ground
jute,home,57.0,7.7,0.28,0.92,1.46,62.1,1.0,Ground
plastic,food,75.0,14.7,0.36,0.1,12.23,40.3,1.0,Ground
paper,home,48.0,6.5,0.2,0.91,1.46,82.9,1.0,Ground
bamboo,cosmetics,59.0,8.3,0.25,0.77,0.73,74.1,2.0,Ground
paper,home,49.0,9.8,0.13,0.97,1.5,92.2,1.0,Ground
bagasse,cosmetics,36.0,5.7,0.21,0.93,0.82,79.1,2.0,Ground
paper,pharmaceuticals,47.0,6.9,0.12,0.89,1.07,,2.0,Ground
glass,home,80.0,14.1,0.48,0.03,21.91,85.3,1.0,Ground
bamboo,pharmaceuticals,56.0,7.6,0.31,0.84,,78.2,2.0,Ground
jute,cosmetics,35.0,5.9,0.21,0.99,0.92,71.9,2.0,Ground
jute,food,46.0,6.7,0.29,0.85,1.44,76.9,1.0,Ground
bagasse,food,45.0,7.3,0.21,0.92,0.86,87.6,1.0,Ground
metal,pharmaceuticals,75.0,11.6,0.76,0.0,17.39,90.1,2.0,Ground
glass,electronics,66.0,10.2,0.48,0.03,15.91,86.4,3.0,Air
bamboo,electronics,63.0,10.4,0.31,0.76,1.1,83.4,3.0,Air
bamboo,cosmetics,45.0,7.8,0.33,0.81,1.06,80.9,2.0,Ground
plastic,cosmetics,60.0,8.1,0.22,0.13,8.31,54.2,2.0,Ground
bagasse,electronics,42.0,6.9,0.13,0.96,1.08,83.9,3.0,Air
plastic,home,79.0,15.5,0.33,0.19,9.84,50.4,1.0,Ground
paper,pharmaceuticals,45.0,8.7,0.13,0.92,1.23,90.2,2.0,Ground
bamboo,electronics,58.0,9.3,0.2,0.8,1.37,,3.0,Air
glass,electronics,69.0,9.4,0.58,0.01,9.69,86.2,3.0,Air
bagasse,home,38.0,6.7,0.16,0.91,0.6,77.5,1.0,Ground
bamboo,food,41.0,7.4,0.22,0.85,0.82,,1.0,Ground
metal,electronics,96.0,12.9,0.74,0.0,18.85,89.2,3.0,Air
bamboo,home,61.0,10.0,0.28,0.77,0.93,67.8,1.0,Ground
bagasse,home,42.0,7.0,0.24,0.96,0.99,88.8,1.0,Ground
glass,pharmaceuticals,90.0,16.3,0.57,0.02,15.19,87.4,2.0,Ground
glass,food,93.0,14.6,0.59,0.02,21.26,94.8,1.0,Ground
metal,electronics,77.0,12.7,,0.0,24.89,96.4,3.0,Air
jute,cosmetics,47.0,9.1,0.18,0.97,1.35,77.7,2.0,Ground
metal,electronics,88.0,13.1,0.44,0.0,17.9,95.7,3.0,Air
glass,cosmetics,81.0,12.4,0.38,0.03,20.82,90.7,2.0,Ground
bamboo,electronics,53.0,7.5,0.21,0.81,1.23,83.7,3.0,Air
bagasse,home,43.0,6.5,0.16,0.99,1.14,78.0,1.0,Ground
plastic,cosmetics,53.0,8.1,0.26,0.21,15.38,37.0,2.0,Ground
plastic,home,57.0,8.1,,0.07,6.67,48.5,1.0,Ground
plastic,cosmetics,65.0,11.6,0.39,,17.02,27.6,2.0,Ground
jute,food,54.0,8.7,0.21,0.89,1.41,67.3,1.0,Ground
plastic,pharmaceuticals,71.0,13.1,0.29,0.13,15.61,46.6,2.0,Ground
glass,food,73.0,10.3,0.36,0.02,12.28,88.5,1.0,Ground
metal,food,91.0,17.9,0.56,0.0,17.88,96.3,1.0,Ground
paper,home,40.0,7.8,0.15,0.91,1.18,93.8,1.0,Ground
glass,cosmetics,69.0,11.8,0.46,0.0,18.78,88.6,2.0,Ground
plastic,cosmetics,59.0,7.9,0.22,0.24,10.98,39.9,2.0,Ground
jute,cosmetics,43.0,6.1,0.28,0.96,1.04,68.3,2.0,Ground
paper,cosmetics,49.0,7.4,0.18,0.99,0.83,84.3,2.0,Ground
bagasse,food,48.0,7.4,0.23,0.9,0.94,84.5,1.0,Ground
bagasse,food,39.0,,0.22,0.96,0.67,75.5,1.0,Ground
metal,home,93.0,16.3,0.46,0.0,21.44,97.7,1.0,Ground
paper,pharmaceuticals,39.0,6.9,0.13,0.96,1.44,75.5,2.0,Ground
jute,electronics,48.0,7.8,0.24,0.89,1.32,76.0,3.0,Air
bagasse,home,49.0,9.3,0.23,0.96,0.86,76.3,1.0,Ground
bamboo,cosmetics,45.0,7.5,0.29,0.78,0.8,68.2,2.0,Ground
glass,food,80.0,15.2,0.35,0.01,9.15,85.9,1.0,Ground
jute,cosmetics,41.0,5.7,,0.96,1.52,62.1,2.0,Ground
glass,home,80.0,11.6,0.45,0.01,17.76,89.8,1.0,Ground
paper,pharmaceuticals,54.0,9.3,0.19,0.93,1.38,86.7,2.0,Ground
plastic,electronics,64.0,11.2,0.28,0.15,14.31,43.2,3.0,Air
bagasse,electronics,47.0,7.6,0.26,0.96,0.62,76.0,3.0,Air
plastic,pharmaceuticals,52.0,8.3,0.2,0.1,7.79,42.0,2.0,Ground
bagasse,electronics,49.0,8.5,0.17,0.96,0.81,89.3,3.0,Air
glass,electronics,91.0,13.9,0.58,0.01,9.46,88.5,3.0,Air
plastic,pharmaceuticals,58.0,8.2,0.36,0.16,13.47,40.4,2.0,Ground
bagasse,pharmaceuticals,39.0,5.3,0.15,0.97,0.67,88.6,2.0,Ground
bamboo,electronics,40.0,6.0,0.34,0.9,0.99,81.7,3.0,Air
plastic,cosmetics,63.0,9.0,0.39,0.16,10.96,54.0,2.0,Ground
plastic,electronics,78.0,12.5,0.34,0.23,7.83,31.4,3.0,Air
bamboo,food,44.0,8.8,0.24,0.81,1.35,72.0,1.0,Ground
paper,pharmaceuticals,42.0,6.7,0.19,0.91,1.4,89.1,2.0,Ground
bamboo,food,45.0,7.3,0.21,0.79,1.35,73.2,1.0,Ground
paper,electronics,43.0,6.7,0.17,0.86,1.14,86.4,3.0,Air
bagasse,home,40.0,5.6,0.2,0.96,0.64,79.9,1.0,Ground
plastic,home,47.0,6.6,0.29,0.22,11.97,,1.0,Ground
plastic,pharmaceuticals,76.0,12.3,0.24,0.14,8.69,33.5,2.0,Ground
plastic,home,72.0,12.2,0.19,0.25,9.2,31.0,1.0,Ground
plastic,food,49.0,8.9,0.31,0.06,12.38,49.7,1.0,Ground
paper,electronics,52.0,,0.23,0.99,1.04,91.9,3.0,Air
paper,cosmetics,48.0,8.5,0.15,0.95,0.89,82.3,2.0,Ground
